tqc3,tqc2,tqc1,tqc0,sim
"{'1000000': 481, '0000000': 543}","{'1000000': 495, '0000000': 529}","{'1000000': 489, '0000000': 535}","{'0000000': 578, '1000000': 446}",{'0000000': 1024}
"{'0000000': 567, '1000000': 457}","{'0000000': 536, '1000000': 488}","{'0000000': 520, '1000000': 504}","{'0000000': 552, '1000000': 472}",{'0000000': 1024}
"{'1000000': 458, '0000000': 566}","{'1000000': 444, '0000000': 580}","{'1000000': 484, '0000000': 540}","{'0000000': 555, '1000000': 469}",{'0000000': 1024}
"{'0000000': 554, '1000000': 470}","{'1000000': 464, '0000000': 560}","{'1000000': 501, '0000000': 523}","{'1000000': 461, '0000000': 563}",{'0000000': 1024}
"{'1000000': 453, '0000000': 571}","{'1000000': 455, '0000000': 569}","{'1000000': 473, '0000000': 551}","{'1000000': 495, '0000000': 529}",{'0000000': 1024}
"{'1000000': 459, '0000000': 565}","{'0000000': 549, '1000000': 475}","{'0000000': 542, '1000000': 482}","{'0000000': 540, '1000000': 484}",{'0000000': 1024}
"{'0000000': 558, '1000000': 466}","{'1000000': 456, '0000000': 568}","{'0000000': 546, '1000000': 478}","{'0000000': 564, '1000000': 460}",{'0000000': 1024}
"{'1000000': 472, '0000000': 552}","{'1000000': 454, '0000000': 570}","{'0000000': 559, '1000000': 465}","{'1000000': 466, '0000000': 558}",{'0000000': 1024}
"{'0000000': 546, '1000000': 478}","{'0000000': 574, '1000000': 450}","{'1000000': 448, '0000000': 576}","{'1000000': 494, '0000000': 530}",{'0000000': 1024}
"{'0000000': 551, '1000000': 473}","{'0000000': 614, '1000000': 410}","{'1000000': 465, '0000000': 559}","{'1000000': 481, '0000000': 543}",{'0000000': 1024}
"{'0000000': 540, '1000000': 484}","{'1000000': 477, '0000000': 547}","{'1000000': 449, '0000000': 575}","{'0000000': 536, '1000000': 488}",{'0000000': 1024}
"{'1000000': 487, '0000000': 537}","{'0000000': 557, '1000000': 467}","{'1000000': 479, '0000000': 545}","{'1000000': 492, '0000000': 532}",{'0000000': 1024}
"{'0000000': 546, '1000000': 478}","{'0000000': 585, '1000000': 439}","{'0000000': 552, '1000000': 472}","{'1000000': 483, '0000000': 541}",{'0000000': 1024}
"{'1000000': 457, '0000000': 567}","{'1000000': 457, '0000000': 567}","{'1000000': 475, '0000000': 549}","{'1000000': 464, '0000000': 560}",{'0000000': 1024}
"{'0000000': 553, '1000000': 471}","{'1000000': 470, '0000000': 554}","{'1000000': 484, '0000000': 540}","{'0000000': 536, '1000000': 488}",{'0000000': 1024}
"{'1000000': 460, '0000000': 564}","{'0000000': 569, '1000000': 455}","{'0000000': 574, '1000000': 450}","{'0000000': 549, '1000000': 475}",{'0000000': 1024}
"{'1000000': 439, '0000000': 585}","{'1000000': 479, '0000000': 545}","{'0000000': 568, '1000000': 456}","{'0000000': 602, '1000000': 422}",{'0000000': 1024}
"{'0000000': 554, '1000000': 470}","{'0000000': 567, '1000000': 457}","{'0000000': 546, '1000000': 478}","{'1000000': 467, '0000000': 557}",{'0000000': 1024}
"{'1000000': 478, '0000000': 546}","{'1000000': 470, '0000000': 554}","{'0000000': 538, '1000000': 486}","{'0000000': 516, '1000000': 508}",{'0000000': 1024}
"{'1000000': 463, '0000000': 561}","{'1000000': 479, '0000000': 545}","{'0000000': 586, '1000000': 438}","{'1000000': 457, '0000000': 567}",{'0000000': 1024}
