tqc3,tqc2,tqc1,tqc0,sim
"{'0000000': 1010, '1000000': 14}","{'1000000': 978, '0000000': 46}","{'1000000': 988, '0000000': 36}","{'1000000': 984, '0000000': 40}",{'1000000': 1024}
"{'1000000': 519, '0000000': 505}","{'0000000': 538, '1000000': 486}","{'1000000': 518, '0000000': 506}","{'0000000': 526, '1000000': 498}","{'0000000': 521, '1000000': 503}"
"{'0000000': 1010, '1000000': 14}","{'0000000': 1004, '1000000': 20}","{'0000000': 1016, '1000000': 8}","{'0000000': 1015, '1000000': 9}",{'0000000': 1024}
"{'0000000': 523, '1000000': 501}","{'0000000': 537, '1000000': 487}","{'0000000': 548, '1000000': 476}","{'1000000': 493, '0000000': 531}","{'0000000': 541, '1000000': 483}"
"{'1000000': 985, '0000000': 39}","{'0000000': 1004, '1000000': 20}","{'1000000': 979, '0000000': 45}","{'1000000': 973, '0000000': 51}",{'1000000': 1024}
"{'0000000': 511, '1000000': 513}","{'0000000': 532, '1000000': 492}","{'0000000': 528, '1000000': 496}","{'0000000': 534, '1000000': 490}","{'1000000': 542, '0000000': 482}"
"{'0000000': 1013, '1000000': 11}","{'0000000': 1006, '1000000': 18}","{'0000000': 1008, '1000000': 16}","{'0000000': 1013, '1000000': 11}",{'0000000': 1024}
"{'0000000': 504, '1000000': 520}","{'0000000': 520, '1000000': 504}","{'1000000': 513, '0000000': 511}","{'1000000': 493, '0000000': 531}","{'0000000': 519, '1000000': 505}"
"{'0000000': 1016, '1000000': 8}","{'0000000': 1001, '1000000': 23}","{'0000000': 1012, '1000000': 12}","{'0000000': 1009, '1000000': 15}",{'0000000': 1024}
"{'0000000': 523, '1000000': 501}","{'0000000': 518, '1000000': 506}","{'1000000': 498, '0000000': 526}","{'0000000': 545, '1000000': 479}","{'0000000': 503, '1000000': 521}"
"{'0000000': 1009, '1000000': 15}","{'1000000': 979, '0000000': 45}","{'0000000': 1009, '1000000': 15}","{'0000000': 1005, '1000000': 19}",{'0000000': 1024}
"{'0000000': 528, '1000000': 496}","{'1000000': 487, '0000000': 537}","{'0000000': 518, '1000000': 506}","{'0000000': 538, '1000000': 486}","{'0000000': 498, '1000000': 526}"
"{'0000000': 1006, '1000000': 18}","{'0000000': 1013, '1000000': 11}","{'1000000': 976, '0000000': 48}","{'1000000': 987, '0000000': 37}",{'1000000': 1024}
"{'0000000': 513, '1000000': 511}","{'1000000': 513, '0000000': 511}","{'1000000': 477, '0000000': 547}","{'1000000': 501, '0000000': 523}","{'1000000': 516, '0000000': 508}"
"{'1000000': 968, '0000000': 56}","{'0000000': 1005, '1000000': 19}","{'0000000': 1012, '1000000': 12}","{'0000000': 1012, '1000000': 12}",{'0000000': 1024}
"{'0000000': 515, '1000000': 509}","{'0000000': 514, '1000000': 510}","{'0000000': 522, '1000000': 502}","{'1000000': 497, '0000000': 527}","{'1000000': 484, '0000000': 540}"
"{'0000000': 1010, '1000000': 14}","{'1000000': 979, '0000000': 45}","{'1000000': 980, '0000000': 44}","{'0000000': 49, '1000000': 975}",{'1000000': 1024}
"{'1000000': 500, '0000000': 524}","{'1000000': 484, '0000000': 540}","{'0000000': 534, '1000000': 490}","{'1000000': 513, '0000000': 511}","{'1000000': 510, '0000000': 514}"
"{'0000000': 1011, '1000000': 13}","{'1000000': 998, '0000000': 26}","{'0000000': 1003, '1000000': 21}","{'0000000': 1010, '1000000': 14}",{'0000000': 1024}
"{'0000000': 500, '1000000': 524}","{'1000000': 525, '0000000': 499}","{'1000000': 495, '0000000': 529}","{'0000000': 500, '1000000': 524}","{'0000000': 523, '1000000': 501}"
"{'1000000': 968, '0000000': 56}","{'1000000': 995, '0000000': 29}","{'0000000': 1006, '1000000': 18}","{'0000000': 1006, '1000000': 18}",{'0000000': 1024}
"{'0000000': 526, '1000000': 498}","{'0000000': 502, '1000000': 522}","{'1000000': 502, '0000000': 522}","{'0000000': 523, '1000000': 501}","{'0000000': 517, '1000000': 507}"
"{'0000000': 1004, '1000000': 20}","{'0000000': 1013, '1000000': 11}","{'0000000': 1007, '1000000': 17}","{'0000000': 1009, '1000000': 15}",{'0000000': 1024}
"{'0000000': 538, '1000000': 486}","{'0000000': 519, '1000000': 505}","{'0000000': 525, '1000000': 499}","{'0000000': 508, '1000000': 516}","{'0000000': 517, '1000000': 507}"
"{'1000000': 981, '0000000': 43}","{'1000000': 982, '0000000': 42}","{'0000000': 1009, '1000000': 15}","{'1000000': 19, '0000000': 1005}",{'0000000': 1024}
"{'0000000': 545, '1000000': 479}","{'1000000': 483, '0000000': 541}","{'0000000': 543, '1000000': 481}","{'0000000': 552, '1000000': 472}","{'1000000': 507, '0000000': 517}"
"{'1000000': 972, '0000000': 52}","{'0000000': 1014, '1000000': 10}","{'0000000': 1008, '1000000': 16}","{'0000000': 1010, '1000000': 14}",{'0000000': 1024}
"{'0000000': 534, '1000000': 490}","{'1000000': 500, '0000000': 524}","{'1000000': 481, '0000000': 543}","{'0000000': 505, '1000000': 519}","{'0000000': 488, '1000000': 536}"
"{'1000000': 979, '0000000': 45}","{'1000000': 976, '0000000': 48}","{'0000000': 1002, '1000000': 22}","{'0000000': 1009, '1000000': 15}",{'0000000': 1024}
"{'1000000': 490, '0000000': 534}","{'1000000': 513, '0000000': 511}","{'0000000': 538, '1000000': 486}","{'1000000': 472, '0000000': 552}","{'1000000': 490, '0000000': 534}"
"{'1000000': 976, '0000000': 48}","{'1000000': 976, '0000000': 48}","{'1000000': 983, '0000000': 41}","{'1000000': 974, '0000000': 50}",{'1000000': 1024}
"{'0000000': 542, '1000000': 482}","{'1000000': 486, '0000000': 538}","{'0000000': 515, '1000000': 509}","{'1000000': 484, '0000000': 540}","{'0000000': 505, '1000000': 519}"
"{'0000000': 1006, '1000000': 18}","{'1000000': 974, '0000000': 50}","{'1000000': 979, '0000000': 45}","{'1000000': 986, '0000000': 38}",{'1000000': 1024}
"{'0000000': 546, '1000000': 478}","{'0000000': 523, '1000000': 501}","{'1000000': 484, '0000000': 540}","{'0000000': 531, '1000000': 493}","{'0000000': 520, '1000000': 504}"
"{'1000000': 967, '0000000': 57}","{'0000000': 1010, '1000000': 14}","{'0000000': 1014, '1000000': 10}","{'0000000': 1003, '1000000': 21}",{'0000000': 1024}
"{'1000000': 497, '0000000': 527}","{'0000000': 529, '1000000': 495}","{'0000000': 528, '1000000': 496}","{'1000000': 528, '0000000': 496}","{'1000000': 494, '0000000': 530}"
"{'1000000': 982, '0000000': 42}","{'0000000': 1007, '1000000': 17}","{'0000000': 1004, '1000000': 20}","{'0000000': 1005, '1000000': 19}",{'0000000': 1024}
"{'0000000': 528, '1000000': 496}","{'0000000': 520, '1000000': 504}","{'1000000': 496, '0000000': 528}","{'1000000': 514, '0000000': 510}","{'0000000': 500, '1000000': 524}"
"{'1000000': 989, '0000000': 35}","{'1000000': 973, '0000000': 51}","{'1000000': 982, '0000000': 42}","{'1000000': 980, '0000000': 44}",{'1000000': 1024}
"{'0000000': 539, '1000000': 485}","{'1000000': 468, '0000000': 556}","{'1000000': 513, '0000000': 511}","{'0000000': 529, '1000000': 495}","{'0000000': 522, '1000000': 502}"
"{'0000000': 1010, '1000000': 14}","{'1000000': 977, '0000000': 47}","{'0000000': 1009, '1000000': 15}","{'0000000': 1006, '1000000': 18}",{'0000000': 1024}
"{'0000000': 534, '1000000': 490}","{'1000000': 494, '0000000': 530}","{'1000000': 526, '0000000': 498}","{'1000000': 493, '0000000': 531}","{'1000000': 509, '0000000': 515}"
"{'1000000': 996, '0000000': 28}","{'1000000': 986, '0000000': 38}","{'0000000': 1005, '1000000': 19}","{'0000000': 1004, '1000000': 20}",{'0000000': 1024}
"{'1000000': 515, '0000000': 509}","{'1000000': 488, '0000000': 536}","{'1000000': 459, '0000000': 565}","{'1000000': 475, '0000000': 549}","{'1000000': 526, '0000000': 498}"
"{'0000000': 1009, '1000000': 15}","{'1000000': 983, '0000000': 41}","{'0000000': 1010, '1000000': 14}","{'0000000': 1008, '1000000': 16}",{'0000000': 1024}
"{'0000000': 517, '1000000': 507}","{'0000000': 539, '1000000': 485}","{'0000000': 526, '1000000': 498}","{'0000000': 511, '1000000': 513}","{'0000000': 493, '1000000': 531}"
"{'1000000': 984, '0000000': 40}","{'1000000': 997, '0000000': 27}","{'1000000': 992, '0000000': 32}","{'1000000': 977, '0000000': 47}",{'1000000': 1024}
"{'0000000': 483, '1000000': 541}","{'1000000': 510, '0000000': 514}","{'0000000': 532, '1000000': 492}","{'1000000': 470, '0000000': 554}","{'1000000': 526, '0000000': 498}"
"{'0000000': 1013, '1000000': 11}","{'1000000': 987, '0000000': 37}","{'0000000': 1008, '1000000': 16}","{'0000000': 1010, '1000000': 14}",{'0000000': 1024}
"{'1000000': 487, '0000000': 537}","{'1000000': 524, '0000000': 500}","{'0000000': 536, '1000000': 488}","{'1000000': 524, '0000000': 500}","{'1000000': 509, '0000000': 515}"
