cost,depth,tqc3TT,tqc3RT,tqc3Counts,tqc3Depth,tqc3Qubits,tqc2TT,tqc2RT,tqc2Counts,tqc2Depth,tqc2Qubits,tqc1TT,tqc1RT,tqc1Counts,tqc1Depth,tqc1Qubits,tqc0TT,tqc0RT,tqc0Counts,tqc0Depth,tqc0Qubits,sim
7,2,61.266647815704346,0.07745814323425293,"{'0100101': 11, '0000101': 903, '0010101': 9, '0100100': 1, '0001101': 16, '0101101': 1, '0000100': 44, '0000001': 23, '1000101': 3, '1000100': 2, '0000111': 9, '0000000': 1, '0000110': 1}",2,"{3: 2, 0: 1, 1: 1, 2: 1, 4: 1, 5: 1}",0.01752305030822754,0.0844576358795166,"{'0100101': 15, '0000101': 894, '0001101': 4, '0010101': 5, '0000100': 50, '1000111': 1, '0000001': 22, '0000011': 1, '1000101': 9, '1000001': 1, '0000111': 16, '0000110': 1, '0010111': 1, '0000000': 3, '0001001': 1}",2,"{3: 2, 0: 1, 1: 1, 2: 1, 4: 1, 5: 1}",0.014713764190673828,0.08294486999511719,"{'0100101': 13, '0000101': 832, '0000111': 24, '0001101': 6, '0000100': 44, '0000011': 2, '1000101': 18, '1000111': 1, '0000001': 67, '0000000': 2, '1000100': 2, '0010101': 4, '0010111': 3, '0100001': 1, '0001100': 1, '0000110': 2, '1001101': 1, '0001001': 1}",2,"{2: 2, 0: 1, 3: 1, 4: 1, 5: 1, 6: 1}",0.011705160140991211,0.08742165565490723,"{'0100101': 11, '0000101': 866, '0001001': 1, '0000001': 62, '0000111': 20, '0001101': 8, '0000100': 31, '1000101': 14, '0000000': 5, '0010001': 1, '0100001': 1, '0001100': 1, '0010101': 1, '0001111': 1, '0100000': 1}",6,"{0: 6, 2: 5, 3: 1, 4: 1, 5: 1, 6: 1}",{'0000101': 1024}
7,3,0.016572237014770508,0.07246756553649902,"{'0010000': 28, '0011000': 906, '0111000': 4, '0011001': 4, '0001000': 44, '0010100': 1, '1011000': 14, '0010010': 1, '0011100': 11, '0011010': 7, '1001000': 1, '0001100': 1, '0000000': 1, '0001001': 1}",2,"{6: 2, 1: 1, 3: 1, 4: 1}",0.015964746475219727,0.08423519134521484,"{'0011010': 14, '0011001': 11, '0001000': 44, '0010000': 36, '0011000': 879, '1010000': 2, '0111000': 8, '0011100': 11, '0010001': 1, '1011000': 14, '0101000': 1, '0000000': 3}",2,"{6: 2, 1: 1, 3: 1, 4: 1}",0.014299869537353516,0.0841836929321289,"{'0001010': 1, '0010000': 34, '0011000': 883, '0011100': 13, '0011010': 15, '0001000': 26, '1011010': 2, '0111000': 13, '0011001': 14, '1011000': 17, '0000000': 2, '0010010': 1, '1011100': 1, '1010000': 1, '1011001': 1}",2,"{4: 2, 3: 1, 5: 1, 6: 1}",0.012355327606201172,0.09027361869812012,"{'0010000': 30, '0011000': 890, '0011001': 8, '0011010': 15, '0001000': 33, '0011100': 13, '0111000': 16, '0010100': 1, '1011000': 11, '0001001': 1, '0001010': 2, '0111010': 1, '0001100': 1, '0111001': 1, '1111000': 1}",7,"{0: 7, 4: 5, 3: 1, 5: 1, 6: 1}",{'0011000': 1024}
7,4,0.010422945022583008,0.06851601600646973,"{'0011000': 10, '0010000': 913, '0010100': 14, '1010000': 17, '0010010': 18, '0000000': 33, '0010001': 10, '0110000': 6, '0000001': 1, '0010101': 1, '0000010': 1}",1,"{3: 1, 4: 1, 6: 1}",0.012247323989868164,0.08884668350219727,"{'0011000': 14, '0010000': 904, '0110000': 15, '0010001': 14, '0000000': 32, '0010100': 10, '1010000': 13, '0010010': 17, '0000010': 2, '0110001': 2, '0011010': 1}",1,"{3: 1, 4: 1, 6: 1}",0.011232137680053711,0.08748722076416016,"{'0000000': 26, '0010001': 14, '0011000': 16, '0010000': 898, '1011000': 1, '0010100': 12, '1010000': 17, '0010010': 16, '0110000': 17, '0110001': 1, '0011100': 1, '0000010': 1, '0110100': 1, '0100000': 1, '1110000': 1, '0001000': 1}",1,"{4: 1, 5: 1, 6: 1}",0.008234024047851562,0.10058832168579102,"{'1011000': 1, '0010100': 13, '1010000': 16, '0011000': 11, '0010000': 906, '0010001': 14, '0000000': 38, '0010010': 16, '0110000': 8, '0110001': 1}",4,"{0: 4, 4: 1, 5: 1, 6: 1}",{'0010000': 1024}
7,5,0.013274431228637695,0.0651695728302002,"{'0100001': 16, '0001001': 15, '0000001': 914, '1000001': 13, '0010001': 7, '0000000': 39, '0000101': 7, '1000101': 1, '0000011': 11, '0000010': 1}",1,"{0: 1, 1: 1, 3: 1}",0.1637880802154541,0.06508684158325195,"{'0001001': 13, '0101001': 2, '0000001': 899, '0000000': 43, '0000011': 17, '1000001': 11, '0000010': 3, '0000101': 13, '0100101': 2, '0100001': 15, '0010001': 5, '0000100': 1}",1,"{1: 1, 2: 1, 3: 1}",0.010162591934204102,0.0839691162109375,"{'0010000': 2, '0100001': 19, '0000001': 915, '0100000': 2, '0000000': 27, '0000101': 12, '0000111': 1, '1000001': 11, '0000011': 15, '0010001': 4, '0001001': 15, '1001001': 1}",1,"{0: 1, 5: 1, 6: 1}",0.006994485855102539,0.09100747108459473,"{'0001001': 8, '0100001': 15, '0000001': 905, '1000001': 14, '0010001': 9, '0000000': 39, '0000101': 10, '0000011': 18, '0100111': 1, '0000010': 1, '1000000': 1, '0100011': 1, '0010011': 1, '1100001': 1}",5,"{0: 5, 5: 1, 6: 1}",{'0000001': 1024}
7,6,0.011061429977416992,0.0637969970703125,"{'0100000': 10, '0001000': 19, '0000000': 933, '0000010': 9, '0000001': 11, '0010000': 17, '1000000': 9, '0000100': 13, '0100100': 1, '0101000': 1, '1101000': 1}",1,{3: 1},0.013273477554321289,0.07960844039916992,"{'0100000': 3, '0001000': 11, '0000000': 932, '0010000': 21, '0000001': 15, '0000100': 14, '1000000': 13, '0000010': 15}",1,{3: 1},0.011097908020019531,0.08808016777038574,"{'0001000': 18, '0100000': 15, '0000000': 927, '0000001': 14, '0000100': 9, '0100100': 1, '1000000': 14, '0000010': 15, '0010000': 8, '1100000': 1, '0010110': 1, '0100001': 1}",1,{6: 1},0.010709047317504883,0.09557175636291504,"{'0001000': 18, '0100000': 10, '0000000': 937, '0000001': 8, '0000010': 16, '1000010': 1, '0000100': 13, '1001000': 1, '1000000': 15, '0000101': 1, '0100100': 1, '0010000': 3}",14,"{0: 14, 6: 1}",{'0000000': 1024}
8,2,0.02848362922668457,0.08195352554321289,"{'1000000': 480, '1001001': 9, '1000001': 442, '1100001': 3, '0000001': 17, '1000101': 3, '1010001': 7, '0000000': 17, '1001000': 9, '1000100': 11, '1010100': 1, '1000010': 7, '1010010': 1, '1000011': 4, '0000101': 1, '1100000': 4, '1010000': 5, '1100010': 1, '1101001': 1, '0001000': 1}",3,"{1: 3, 4: 2, 0: 1, 2: 1, 3: 1, 5: 1}",0.01972651481628418,0.11372637748718262,"{'1000000': 450, '1001001': 7, '1000001': 469, '1010000': 2, '1100001': 7, '1000110': 1, '0000000': 22, '1000111': 1, '0000001': 16, '1000100': 6, '1100000': 8, '1000011': 6, '1000010': 6, '1001000': 9, '1000101': 7, '1010001': 2, '1001101': 1, '0010000': 1, '1101001': 1, '0001001': 1, '0101000': 1}",3,"{5: 3, 0: 2, 1: 1, 3: 1, 4: 1, 6: 1}",0.02138042449951172,0.09254837036132812,"{'1100000': 10, '1000001': 435, '1100001': 5, '1010000': 3, '1000000': 485, '1000101': 6, '1000100': 10, '0000001': 12, '1001001': 8, '0000000': 19, '1000011': 11, '1000010': 13, '1110001': 1, '1001000': 4, '1010001': 2}",3,"{0: 3, 6: 2, 2: 1, 3: 1, 4: 1, 5: 1}",0.01437234878540039,0.08507442474365234,"{'1001001': 8, '1000001': 428, '1000000': 476, '0100001': 1, '1000111': 1, '0000001': 29, '0000000': 20, '1000011': 6, '0000011': 1, '1000101': 5, '1110001': 1, '1000010': 13, '1010000': 5, '1000100': 9, '1100000': 6, '1001000': 6, '1101001': 1, '1100001': 6, '1010001': 1, '0001001': 1}",5,"{6: 5, 0: 4, 2: 1, 3: 1, 4: 1, 5: 1}","{'1000001': 496, '1000000': 528}"
8,3,0.01971721649169922,0.06816315650939941,"{'1100001': 441, '1110001': 420, '1010001': 19, '1110000': 25, '1110101': 2, '0111001': 2, '0110001': 10, '1000000': 2, '0100000': 1, '1110011': 12, '1110010': 2, '0100001': 25, '0110000': 2, '1000001': 16, '1100000': 12, '1111001': 8, '1100011': 7, '0100101': 1, '1101001': 9, '1100101': 3, '1011001': 1, '1100111': 1, '1010000': 1, '0110011': 1, '0000011': 1}",3,"{2: 3, 0: 2, 1: 2, 5: 2, 3: 1}",0.018751144409179688,0.08718514442443848,"{'1110001': 405, '1101001': 5, '1100001': 443, '1100000': 23, '1010001': 33, '1000001': 34, '1100011': 7, '0100000': 2, '1110011': 5, '0100001': 14, '1000000': 1, '0110001': 21, '0010001': 3, '0100011': 1, '1110000': 13, '1100101': 2, '1010011': 1, '0000001': 1, '1010000': 3, '1101000': 2, '1111001': 3, '1000011': 1, '1010101': 1}",3,"{0: 3, 1: 2, 2: 2, 5: 2, 3: 1}",0.019760847091674805,0.09379744529724121,"{'1100001': 443, '1110001': 434, '1100011': 11, '1000001': 22, '0110001': 18, '1110000': 17, '1010001': 18, '0100001': 15, '1110010': 1, '1111001': 2, '1100100': 1, '1100000': 17, '1110011': 8, '1110101': 6, '1101001': 5, '1000011': 1, '1100101': 1, '0000001': 1, '1111011': 1, '1001001': 1, '1111000': 1}",3,"{4: 3, 0: 2, 5: 2, 6: 2, 3: 1}",0.010779142379760742,0.0961146354675293,"{'1110001': 399, '1101001': 8, '1100001': 460, '1110010': 1, '0100001': 15, '1110101': 6, '1100000': 15, '0100011': 1, '1110000': 16, '1100011': 11, '1010011': 1, '1000001': 24, '1010001': 23, '1010111': 1, '1000000': 1, '0110001': 19, '1100101': 4, '1111001': 7, '0000101': 1, '1011001': 1, '0100000': 1, '1110011': 6, '0101001': 1, '1010000': 1, '0110011': 1}",15,"{0: 15, 5: 5, 6: 5, 4: 3, 3: 1}","{'1110001': 513, '1100001': 511}"
8,4,0.012457847595214844,0.06461548805236816,"{'0011001': 4, '0000000': 36, '0010001': 460, '0010000': 25, '0000001': 452, '0000101': 6, '0010011': 10, '0110001': 5, '0100001': 6, '0000011': 6, '1000001': 5, '0001001': 3, '1010001': 4, '0000100': 1, '0110011': 1}",3,"{3: 3, 1: 2, 0: 1, 2: 1}",0.014294862747192383,0.08807754516601562,"{'0001001': 9, '0010000': 12, '0000001': 457, '0011001': 6, '0000000': 20, '0010001': 464, '0000011': 10, '0010101': 7, '0100001': 7, '0010011': 13, '1000000': 1, '0110001': 6, '1000001': 5, '0000111': 1, '0000010': 1, '0000101': 3, '1010001': 2}",3,"{3: 3, 5: 2, 4: 1, 6: 1}",0.014264106750488281,0.09505867958068848,"{'1000001': 9, '0000000': 20, '0010001': 451, '0010000': 13, '0001001': 5, '0000001': 478, '0010011': 9, '1010000': 1, '0000011': 7, '0100001': 8, '0110001': 5, '0011001': 4, '0010101': 2, '1010001': 5, '0000101': 3, '1010011': 1, '0010111': 1, '0010100': 1, '0000010': 1}",3,"{4: 3, 0: 2, 5: 1, 6: 1}",0.012498617172241211,0.08667540550231934,"{'0010001': 470, '0100001': 9, '0010000': 19, '0000001': 454, '0001101': 1, '0000011': 10, '0010011': 8, '0110001': 4, '0000000': 13, '0011001': 6, '0001001': 7, '1000001': 6, '1010001': 7, '0000101': 6, '0010101': 3, '0101001': 1}",4,"{0: 4, 4: 3, 5: 1, 6: 1}","{'0010001': 469, '0000001': 555}"
8,5,0.01426243782043457,0.07624626159667969,"{'1101001': 8, '1100001': 445, '1100101': 8, '0000001': 21, '0100001': 441, '1100000': 21, '0100000': 19, '1000001': 21, '0100011': 7, '1100011': 3, '1110001': 5, '1000000': 1, '0110001': 9, '0101001': 8, '0101011': 1, '0100101': 4, '1100010': 1, '1101000': 1}",3,"{4: 3, 5: 2, 3: 1}",0.014204025268554688,0.0913534164428711,"{'0000001': 14, '0100001': 467, '0100101': 8, '1101001': 10, '1100001': 446, '1100000': 22, '1000001': 10, '0100000': 18, '1100101': 5, '0100011': 7, '0101001': 7, '0101011': 1, '1101000': 1, '1100011': 6, '1100010': 1, '1110001': 1}",3,"{0: 3, 1: 2, 3: 1}",0.018085002899169922,0.09350156784057617,"{'1100101': 11, '0100001': 465, '1100001': 437, '0100010': 1, '1110001': 3, '0100000': 18, '1100000': 17, '1100011': 7, '1000001': 22, '0000001': 8, '0100101': 10, '0001001': 1, '0101001': 9, '0100011': 8, '0101000': 1, '1000101': 1, '0110001': 4, '1100010': 1}",3,"{6: 3, 0: 2, 5: 1}",0.010883092880249023,0.10086584091186523,"{'0000001': 18, '0100001': 455, '0100101': 10, '1100001': 424, '0100000': 21, '1000001': 20, '1100011': 5, '1110001': 4, '1101001': 7, '0100011': 10, '1100000': 22, '0101001': 11, '1100101': 4, '1000011': 1, '0000101': 1, '1000000': 1, '0110001': 5, '0000000': 2, '1001001': 1, '1100100': 1, '0100111': 1}",9,"{0: 9, 6: 3, 5: 1}","{'1100001': 495, '0100001': 529}"
8,6,0.014484405517578125,0.06078958511352539,"{'0001000': 6, '0000000': 510, '0010000': 6, '0100001': 5, '0000001': 444, '1000001': 6, '0000101': 10, '0000011': 6, '0000010': 7, '0100000': 5, '0000100': 7, '1000000': 7, '0001001': 2, '0010001': 3}",3,"{1: 3, 3: 1}",0.01529383659362793,0.18753433227539062,"{'0100001': 8, '0000001': 457, '0001000': 9, '0100000': 5, '0000000': 478, '0000010': 15, '1000001': 7, '1000101': 1, '0000011': 7, '0010000': 10, '0010001': 6, '1000000': 6, '0000100': 4, '0001001': 10, '0000101': 1}",3,"{5: 3, 3: 1}",0.009046554565429688,0.08619475364685059,"{'0000001': 447, '0000101': 5, '0100000': 4, '0000000': 506, '1000001': 9, '0110001': 1, '1000000': 6, '0000010': 9, '0000011': 12, '1000010': 1, '0000100': 5, '0001001': 3, '0100001': 7, '0001000': 4, '0010000': 1, '0010001': 2, '0100100': 1, '0011000': 1}",3,"{0: 3, 6: 1}",0.008025407791137695,0.09027242660522461,"{'0001000': 7, '0000000': 496, '0100001': 4, '0001001': 7, '0010000': 4, '0000001': 454, '0000011': 6, '0000010': 7, '0000101': 6, '0100000': 8, '0110000': 1, '1000001': 4, '0010001': 6, '0000110': 1, '1000000': 8, '0000100': 3, '0010011': 1, '1010000': 1}",8,"{0: 8, 6: 1}","{'0000000': 518, '0000001': 506}"
