Cost,Depth,Selected Optimization Level,time0,depth0,time1,depth1,time2,depth2,time3,depth3,Actual Optimization Level,Time Difference
54,42,1,13.74613642692566,63,5.166976451873779,8,5.240946054458618,7,5.288843870162964,11,2,199.95915164877692
77,74,3,5.231020927429199,184,5.193923711776733,3,5.160865783691406,3,5.169451713562012,3,2,199.9554031300116
61,47,2,5.111963272094727,105,5.202693462371826,4,5.5514209270477295,4,5.236905097961426,10,1,199.95427738764084
72,59,1,5.338974952697754,71,5.205250978469849,5,5.139306545257568,4,5.346101999282837,10,2,199.95533976948659
49,24,1,5.319258451461792,71,5.153790235519409,6,5.160143852233887,6,5.2408833503723145,10,1,199.95463405622664
58,6,1,5.181625604629517,17,5.3844475746154785,10,5.260165691375732,9,5.320199251174927,8,3,199.95500148185425
21,18,2,5.519410848617554,32,5.2063000202178955,3,5.229239463806152,3,5.3509368896484375,3,1,199.95537539417487
18,6,0,5.271585702896118,15,5.236243963241577,4,5.2922523021698,4,5.143625259399414,4,3,199.95477585270794
30,10,2,5.273589611053467,14,5.2896764278411865,3,5.096386671066284,3,5.264304876327515,3,2,199.95523223598855
79,11,1,5.353511571884155,33,5.280545711517334,17,5.392286777496338,23,5.3508758544921875,25,1,199.95430691576306
31,9,2,5.1621315479278564,21,5.177722930908203,2,5.365712881088257,2,5.632516622543335,2,1,199.95086136928722
95,52,2,5.352550268173218,137,5.272132873535156,8,5.278322458267212,8,5.261786222457886,10,1,199.9536572106505
85,75,0,5.1828649044036865,117,5.126725912094116,4,5.236204385757446,4,5.343663215637207,9,1,199.95017984734162
80,78,1,5.225243091583252,178,5.241114616394043,2,5.375442981719971,2,5.213306903839111,2,3,199.9585476593874
33,2,3,5.532304763793945,7,5.3037896156311035,10,5.254645109176636,7,5.292647123336792,6,3,199.95516909689752
50,40,2,5.278331756591797,48,5.20522928237915,4,5.206286668777466,4,5.196131944656372,10,1,199.9600310316371
78,11,2,5.714384078979492,28,5.2818074226379395,15,5.450937271118164,17,5.326771259307861,12,3,199.959975720557
66,61,1,5.266113519668579,167,5.278302431106567,3,5.18965482711792,3,5.228604078292847,3,2,199.97451877472773
27,20,2,5.20435905456543,58,5.184070587158203,3,5.1423139572143555,3,5.310469627380371,3,2,199.95490562089617
57,33,2,5.296871900558472,58,5.291695594787598,16,5.16146445274353,16,5.443002223968506,15,3,199.97390297196554
8,5,2,5.048397779464722,13,5.282946825027466,3,5.061744689941406,3,5.162554025650024,3,1,199.9605813931754
23,20,0,5.0908424854278564,50,5.258510589599609,3,5.218638896942139,3,5.155857086181641,3,1,199.97453283498731
85,32,2,5.351701498031616,52,5.2116007804870605,19,5.230666637420654,16,5.171160936355591,16,3,199.96043559372663
8,4,1,5.2156970500946045,16,5.215630292892456,3,5.081617593765259,3,5.103237152099609,3,2,199.97381288327134
70,39,2,5.295960426330566,55,5.258302927017212,17,5.125046491622925,16,5.286237955093384,12,3,199.96524774243758
26,23,3,5.538465261459351,61,5.366928577423096,3,5.105801820755005,3,5.377260208129883,3,2,199.96533735549338
40,39,1,5.3348634243011475,97,5.33492112159729,3,5.343747138977051,3,5.191253185272217,3,3,199.95367729973538
18,7,1,5.266201496124268,19,5.204994201660156,3,5.263592958450317,3,5.196281671524048,3,3,199.97502941028347
24,22,1,5.1908791065216064,50,5.608178377151489,2,5.130958557128906,2,5.278048038482666,2,2,199.96067984115226
71,2,1,5.2219626903533936,14,5.287963628768921,15,5.458186149597168,14,5.42157769203186,6,3,199.98659872571076
74,53,2,5.542679071426392,70,5.376012563705444,6,5.307357311248779,6,5.8330652713775635,10,2,199.9927815140664
76,9,2,5.406197547912598,23,5.2670629024505615,3,5.608694791793823,3,5.493808269500732,8,1,199.98940506608488
19,18,1,5.206999778747559,36,5.198866367340088,3,5.163147687911987,3,5.287477970123291,3,2,199.96441045760315
27,18,2,5.2134480476379395,21,5.298081398010254,5,5.5267493724823,5,5.095681428909302,10,1,199.95041133293145
39,26,3,5.364912986755371,35,5.3605122566223145,8,5.303099870681763,7,5.239125728607178,10,2,199.96013902027406
66,55,2,5.203829288482666,110,5.153813123703003,6,5.3345420360565186,6,5.206641674041748,10,1,199.958822229389
8,6,0,5.399487495422363,10,5.100583076477051,2,5.065627336502075,2,5.091609001159668,2,2,199.96053672390525
7,5,1,5.038788795471191,17,5.319014072418213,1,5.072910785675049,1,5.2346720695495605,1,1,199.959269979636
72,63,3,5.24420428276062,155,5.476442575454712,5,5.140826225280762,5,5.269773244857788,10,2,199.97532105090684
9,4,2,5.237644195556641,11,4.99773907661438,4,5.548080921173096,4,5.154220819473267,4,1,199.97159230801057
63,58,3,5.103901147842407,124,5.2680230140686035,3,5.338768482208252,3,5.190059661865234,3,1,199.9911190884666
58,53,1,5.061968564987183,123,5.179724931716919,3,5.636418581008911,3,5.965078830718994,3,1,199.99202078374935
89,84,2,5.234661817550659,186,5.039518117904663,6,5.750486612319946,6,5.263695955276489,10,1,199.99875075055525
64,63,3,5.681649208068848,161,5.660765171051025,3,11.409061670303345,3,5.17889404296875,3,3,199.99653675984842
69,8,1,5.179461479187012,33,5.244043588638306,8,6.498960256576538,8,5.435427665710449,10,1,199.98332192632324
78,15,1,5.3417277336120605,25,5.299856901168823,20,6.099553823471069,21,5.521398544311523,14,3,199.99876676406691
45,4,1,5.381202697753906,13,5.552958726882935,11,5.420892953872681,13,5.3460352420806885,9,3,199.9993922832012
15,3,2,5.397653579711914,5,5.145942211151123,6,5.061410188674927,6,5.16781759262085,6,0,199.95941688898614
39,9,2,5.127512454986572,13,5.266507387161255,9,5.372530460357666,9,5.421915292739868,6,3,199.95994935728254
57,41,2,5.192826271057129,105,5.131617546081543,1,5.224441289901733,1,5.075822830200195,1,3,199.95815817392227
30,10,2,5.174509048461914,18,5.1687164306640625,4,5.272547006607056,4,5.2804999351501465,4,1,199.96488055414054
17,2,2,5.117929697036743,6,4.997365236282349,3,5.223388433456421,3,5.350101470947266,3,1,199.96133378349154
85,62,2,5.084218978881836,160,5.013380527496338,5,5.347533702850342,5,5.305657863616943,10,1,199.95765971073203
36,34,2,5.193875551223755,86,5.255461692810059,0,5.302401065826416,0,5.489253997802734,0,1,199.99070826581357
41,23,2,5.252001523971558,27,5.198097229003906,7,5.51973557472229,7,5.427264213562012,10,1,199.96435219534587
