Cost,Depth,Selected Optimization Level,time0,depth0,time1,depth1,time2,depth2,time3,depth3,Actual Optimization Level,Time Difference
59,32,1,12.9527587890625,37,5.126782655715942,18,5.37322211265564,17,5.115524768829346,11,3,199.9522378501163
57,42,1,5.182704925537109,74,5.258338212966919,5,5.093552827835083,5,5.262369155883789,9,2,199.96007343986287
44,3,0,5.376253366470337,10,5.238665342330933,8,5.130051612854004,8,5.199294090270996,8,2,199.9601604501098
26,24,1,5.0292418003082275,60,5.313934564590454,2,5.078945875167847,2,5.13528037071228,2,1,199.95887606986543
42,40,1,5.089739084243774,104,5.4087018966674805,1,4.988205909729004,1,5.169530630111694,1,2,199.95365559911934
14,6,1,5.115748643875122,12,5.092536449432373,7,5.163883686065674,6,5.112552881240845,6,2,199.9740892788768
59,53,2,5.169544219970703,129,5.198984146118164,1,5.937643766403198,1,5.158128976821899,1,3,199.9946826494427
57,34,2,5.407861232757568,33,5.156226634979248,8,6.322235822677612,8,5.288739919662476,14,1,199.95387343334156
78,57,2,5.644547462463379,105,5.313613414764404,5,5.509029150009155,5,5.154855251312256,10,1,199.98408886120023
40,5,1,5.274151086807251,13,5.36173152923584,4,5.124216079711914,4,5.256024599075317,4,2,199.9497562545313
52,47,2,5.106344938278198,105,5.182268142700195,6,5.198254108428955,5,5.273465156555176,10,2,199.98455177501455
80,77,1,6.038545370101929,179,5.400528907775879,3,5.184931516647339,3,5.171627759933472,3,3,199.95071664685224
14,2,1,5.074086904525757,6,5.099324941635132,3,4.99910306930542,3,5.262064456939697,3,2,199.96425862276246
15,4,2,5.103145360946655,7,5.223307847976685,2,5.303360462188721,2,5.5820088386535645,2,1,199.95525050751567
75,37,2,5.447310209274292,89,5.270657777786255,24,5.19593071937561,19,5.325063943862915,14,3,199.95458975811974
28,21,1,5.230675458908081,36,5.124339580535889,6,5.376662015914917,5,5.171461343765259,10,2,199.96734060161944
46,30,2,5.062182426452637,67,5.349478006362915,1,5.2599334716796875,1,5.162029266357422,10,1,199.97205161455145
86,77,2,5.637430191040039,151,5.4102935791015625,5,5.065595626831055,5,5.28485894203186,10,2,199.9584215305365
57,50,1,5.060880899429321,79,5.45290994644165,6,5.38494610786438,6,6.926419496536255,10,1,199.95214427033062
47,41,2,5.394251346588135,81,5.35519552230835,7,5.453906536102295,6,5.406034469604492,10,2,199.9465299773549
66,5,1,5.362718343734741,19,5.58437442779541,17,5.422056436538696,16,5.562102556228638,10,3,199.95469787425796
35,31,3,5.267055988311768,48,5.059804201126099,3,5.381021499633789,3,5.252386569976807,10,1,199.9589289124167
34,12,2,5.306856870651245,11,5.224129676818848,10,5.225955963134766,8,5.174662828445435,8,3,199.95914937208948
93,7,2,5.717841625213623,25,5.3881189823150635,26,5.538827180862427,20,5.288573265075684,16,3,199.96056558315863
70,56,2,5.1987526416778564,65,5.193934202194214,7,5.1127307415008545,5,5.2878947257995605,10,2,199.95524481287293
22,10,1,5.040125846862793,26,5.217967987060547,7,5.102155685424805,6,5.246262311935425,10,2,199.9548937152611
47,12,2,6.0092079639434814,18,5.218369722366333,16,5.4605255126953125,17,5.429111957550049,16,1,199.9591331160755
72,16,0,5.3299009799957275,32,5.121548414230347,5,5.119657278060913,5,5.215489149093628,10,2,199.95549890703228
73,40,2,5.71025276184082,84,5.345704078674316,12,5.446522235870361,10,5.526471138000488,15,2,199.9639630779682
27,17,2,5.1211206912994385,26,5.190304279327393,9,6.141605854034424,6,5.252642393112183,10,1,199.95529814210235
72,62,2,5.1329522132873535,91,5.166701793670654,2,5.06836724281311,2,5.233986854553223,9,2,199.9628773738063
22,7,1,5.0461039543151855,13,5.317119121551514,5,5.131814956665039,5,5.261218786239624,5,1,199.95133670955062
44,33,2,5.264514923095703,81,5.202255964279175,6,5.278353929519653,6,5.306911945343018,11,1,199.96184895074637
80,22,1,5.380808115005493,57,5.609392166137695,7,5.006011724472046,7,5.561511754989624,11,2,199.95966508790494
78,45,1,5.438576698303223,91,5.175928592681885,12,5.341424465179443,12,5.939594507217407,13,1,199.96454721681303
17,9,1,5.353622674942017,14,5.15678596496582,5,5.85781717300415,5,5.329355478286743,5,1,199.9544746795114
77,41,2,5.317044019699097,79,5.716937780380249,20,5.292398691177368,18,5.303196668624878,20,2,199.95523060980938
68,54,1,5.219472885131836,134,5.130469083786011,1,5.147243499755859,1,5.590538740158081,1,1,199.9792898018529
16,12,1,5.109292507171631,28,5.108369827270508,0,5.328071117401123,0,5.202582120895386,0,1,199.97744096583995
15,11,2,5.582822322845459,15,5.266265630722046,4,5.436172723770142,4,5.046713829040527,4,3,199.95522864237842
