Circuit,ActCost,Act Gate Count,sim Cost 0,sim Gate Count 0,sim Runtime 0,sim Transpile Time 0,sim Cost 1,sim Gate Count 1,sim Runtime 1,sim Transpile Time 1,sim Cost 2,sim Gate Count 2,sim Runtime 2,sim Transpile Time 2,sim Cost 3,sim Gate Count 3,sim Runtime 3,sim Transpile Time 3,Cost 0,Gate Count 0,Runtime 0,Transpile Time 0,Cost 1,Gate Count 1,Runtime 1,Transpile Time 1,Cost 2,Gate Count 2,Runtime 2,Transpile Time 2,Cost 3,Gate Count 3,Runtime 3,Transpile Time 3
"   Gate  Qubit
0     z      6
1     x      5
2     x      3
3     z      4
4     y      5
5     z      4
6     y      4
7     x      6
8     y      5
9     z      4
10    y      4
11    z      4
12    y      0
13    h      0
14    y      2
15    z      3
16    x      4",18,17,43.0,43.0,0.10590275463380631,0.008478164672851562,11.0,11.0,0.10324447229572822,0.008238077163696289,11.0,11.0,0.09881309142942758,0.012049674987792969,11.0,11.0,0.0943976279861038,0.016553401947021484,43.0,43.0,0.06246304512023926,0.0040357112884521484,11.0,11.0,0.08768844604492188,0.01601099967956543,11.0,11.0,0.08070182800292969,0.017530441284179688,11.0,11.0,0.07877135276794434,0.024074316024780273
"   Gate Qubit
0     x     6
1     h     1
2  swap   2,0
3     h     4
4    cx   3,0",21,5,57.0,17.0,0.1091126872851435,0.0070040225982666016,27.0,11.0,0.10393512576735327,0.008223295211791992,27.0,11.0,0.09951385572708409,0.012474536895751953,27.0,11.0,0.09523219623584565,0.0227963924407959,57.0,17.0,0.07283687591552734,0.004012584686279297,27.0,11.0,0.08388733863830566,0.008019208908081055,27.0,11.0,0.0832064151763916,0.011516094207763672,27.0,11.0,0.0807957649230957,0.02003788948059082
"  Gate  Qubit
0    x      4
1    h      4
2    x      2
3    z      5",5,4,6.0,6.0,0.10799699656551158,0.0057108402252197266,5.0,5.0,0.10368199738038511,0.012047052383422852,5.0,5.0,0.09917395737159768,0.012525320053100586,5.0,5.0,0.09473113328733195,0.015839338302612305,6.0,6.0,0.0648951530456543,0.004986286163330078,5.0,5.0,0.08065390586853027,0.009513139724731445,5.0,5.0,0.08422183990478516,0.015301227569580078,5.0,5.0,0.08469176292419434,0.014024734497070312
"    Gate Qubit
0      x     2
1      h     5
2      x     1
3      h     6
4      z     0
5      h     6
6      h     0
7      x     2
8      y     4
9      x     2
10     z     1
11  swap   3,1
12     h     0
13     z     6
14     x     3",30,15,43.0,31.0,0.10701844080241278,0.004024982452392578,26.0,14.0,0.10358348793146628,0.008052587509155273,26.0,14.0,0.09923684828876436,0.015548944473266602,26.0,14.0,0.09502905704497477,0.029082775115966797,43.0,31.0,0.06564879417419434,0.008043527603149414,26.0,14.0,0.08066558837890625,0.015526056289672852,26.0,14.0,0.08274197578430176,0.019197940826416016,26.0,14.0,0.07464957237243652,0.02853870391845703
"   Gate  Qubit
0     y      1
1     h      4
2     x      6
3     x      3
4     z      3
5     h      3
6     x      5
7     x      0
8     h      4
9     x      5
10    z      3
11    h      0
12    x      6
13    y      5
14    x      2
15    x      6
16    x      5
17    x      6
18    y      2
19    y      1
20    h      3
21    z      4
22    x      2
23    y      1
24    z      6
25    h      2
26    h      6
27    z      3
28    h      2
29    x      6",38,30,66.0,66.0,0.10445931580052283,0.004040718078613281,12.0,12.0,0.10327369418573903,0.012044668197631836,12.0,12.0,0.0987774537960512,0.013036012649536133,12.0,12.0,0.09432738654411327,0.016035079956054688,66.0,66.0,0.13483262062072754,0.005034208297729492,12.0,12.0,0.08148479461669922,0.018181562423706055,12.0,12.0,0.08116364479064941,0.020031452178955078,12.0,12.0,0.07913661003112793,0.0235443115234375
"   Gate Qubit
0     h     6
1     x     5
2     x     0
3     x     6
4    cx   5,1
5    cx   2,3
6    cx   2,1
7     h     0
8     z     2
9     h     2
10    z     3
11    h     2",28,12,62.0,26.0,0.10847284547377231,0.009517192840576172,24.0,12.0,0.10365358981602234,0.006028890609741211,24.0,12.0,0.09936547123960764,0.016069889068603516,24.0,12.0,0.09513575858449824,0.028650522232055664,62.0,26.0,0.06474733352661133,0.008506059646606445,24.0,12.0,0.08086609840393066,0.014513015747070312,24.0,12.0,0.08095979690551758,0.01710653305053711,24.0,12.0,0.07581186294555664,0.030320405960083008
"   Gate  Qubit
0     h      6
1     y      3
2     z      1
3     x      3
4     h      0
5     z      5
6     y      2
7     z      2
8     y      1
9     z      5
10    h      5
11    x      0
12    z      0
13    y      2
14    z      5
15    x      5
16    z      6
17    y      0
18    h      1",23,19,47.0,47.0,0.10567009492730685,0.00850534439086914,14.0,14.0,0.10311028100107279,0.010010957717895508,14.0,14.0,0.09863771661290546,0.012031793594360352,14.0,14.0,0.0943951351352929,0.024052858352661133,47.0,47.0,0.0651397705078125,0.006009817123413086,14.0,14.0,0.08733010292053223,0.017024517059326172,14.0,14.0,0.07991886138916016,0.01804041862487793,14.0,14.0,0.08467960357666016,0.023529767990112305
"   Gate Qubit
0     x     1
1     x     4
2     z     3
3     x     1
4     x     6
5     z     4
6     y     4
7     z     5
8     x     5
9     z     6
10    x     6
11    y     3
12    x     3
13   cx   4,5
14    z     6
15    x     1
16    x     6
17    x     5
18    y     5
19    z     5
20    y     3
21    z     6
22    x     5
23    x     3
24    x     2
25    x     6
26    y     0
27    y     0",32,28,56.0,52.0,0.10554119228020395,0.008068561553955078,12.0,8.0,0.10369204235083766,0.012580156326293945,10.0,6.0,0.09926559679242077,0.011534452438354492,10.0,6.0,0.0948504623347596,0.0160524845123291,56.0,52.0,0.06527352333068848,0.004503965377807617,12.0,8.0,0.08465576171875,0.012030363082885742,10.0,6.0,0.08328747749328613,0.017091989517211914,10.0,6.0,0.14287686347961426,0.024532318115234375
"  Gate  Qubit
0    x      2
1    x      0",2,2,2.0,2.0,0.10814537014524564,0.0020186901092529297,2.0,2.0,0.10367193942816672,0.0040018558502197266,2.0,2.0,0.09916441483025074,0.004502534866333008,2.0,2.0,0.09472674485469951,0.008040666580200195,2.0,2.0,0.06914234161376953,0.0,2.0,2.0,0.08065509796142578,0.004001617431640625,2.0,2.0,0.08583188056945801,0.006009101867675781,2.0,2.0,0.0806884765625,0.00803828239440918
"  Gate  Qubit
0    z      0
1    y      4",2,2,6.0,6.0,0.10806122553304541,0.00850367546081543,3.0,3.0,0.1037407931243355,0.009531736373901367,3.0,3.0,0.0991881810413563,0.0080718994140625,3.0,3.0,0.0948062741356206,0.014034748077392578,6.0,6.0,0.06062173843383789,0.0040013790130615234,3.0,3.0,0.08020377159118652,0.011527538299560547,3.0,3.0,0.07842206954956055,0.011800765991210938,3.0,3.0,0.08321189880371094,0.01807546615600586
