Cost,Gate Count,Optimization Level,Runtime,Transpile Time
1,1,3,0.06263160705566406,0.09996175765991211
1,1,2,0.09501981735229492,0.007995128631591797
1,1,1,0.09281659126281738,0.008054733276367188
1,1,0,0.09401679039001465,0.005498170852661133
3,3,3,0.08733320236206055,0.017514467239379883
3,3,2,0.09031105041503906,0.013490676879882812
3,3,1,0.09108877182006836,0.011508703231811523
3,3,0,0.09017181396484375,0.009032249450683594
4,4,3,0.07876992225646973,0.02150416374206543
4,4,2,0.0854942798614502,0.017493724822998047
4,4,1,0.08451414108276367,0.014589548110961914
10,10,0,0.09168648719787598,0.010013341903686523
5,5,3,0.08342480659484863,0.023987770080566406
5,5,2,0.08541345596313477,0.017547130584716797
5,5,1,0.08512139320373535,0.016149282455444336
8,8,0,0.08603572845458984,0.01050114631652832
2,2,3,0.07982945442199707,0.020604372024536133
2,2,2,0.08829069137573242,0.015518903732299805
2,2,1,0.09153199195861816,0.013022899627685547
7,7,0,0.08705902099609375,0.007927656173706055
6,6,3,0.07691287994384766,0.018008708953857422
6,6,2,0.08525347709655762,0.014535665512084961
6,6,1,0.09375691413879395,0.011561870574951172
6,6,0,0.08700442314147949,0.009022235870361328
4,4,3,0.07615828514099121,0.0235137939453125
4,4,2,0.0837547779083252,0.01798868179321289
4,4,1,0.08837246894836426,0.015507221221923828
9,9,0,0.08966898918151855,0.011500358581542969
2,2,3,0.18326139450073242,0.020025014877319336
2,2,2,0.09695577621459961,0.015496492385864258
2,2,1,0.08878397941589355,0.015544652938842773
4,4,0,0.09082770347595215,0.008491992950439453
5,1,3,0.08456897735595703,0.014499664306640625
5,1,2,0.08992981910705566,0.008002519607543945
5,1,1,0.09120917320251465,0.007485866546630859
50,10,0,0.08792376518249512,0.01152801513671875
2,2,3,0.07529234886169434,0.02300858497619629
2,2,2,0.0836188793182373,0.018364667892456055
2,2,1,0.08912491798400879,0.015501260757446289
11,11,0,0.08741950988769531,0.01154637336730957
8,8,3,0.0706477165222168,0.02553391456604004
8,8,2,0.09118199348449707,0.02100825309753418
8,8,1,0.08408164978027344,0.01648402214050293
14,14,0,0.08292341232299805,0.012376070022583008
5,5,3,0.08007168769836426,0.023207902908325195
5,5,2,0.08381175994873047,0.017019033432006836
5,5,1,0.0833277702331543,0.013566017150878906
13,13,0,0.08115792274475098,0.013112306594848633
6,2,3,0.0776665210723877,0.019776344299316406
6,2,2,0.09077119827270508,0.012828588485717773
6,2,1,0.08549857139587402,0.011523008346557617
6,2,0,0.09000611305236816,0.009031057357788086
