ActCost,Act Gate Count,sim Cost 0,sim Gate Count 0,sim Runtime 0,sim Transpile Time 0,sim Cost 1,sim Gate Count 1,sim Runtime 1,sim Transpile Time 1,sim Cost 2,sim Gate Count 2,sim Runtime 2,sim Transpile Time 2,sim Cost 3,sim Gate Count 3,sim Runtime 3,sim Transpile Time 3,Cost 0,Gate Count 0,Runtime 0,Transpile Time 0,Cost 1,Gate Count 1,Runtime 1,Transpile Time 1,Cost 2,Gate Count 2,Runtime 2,Transpile Time 2,Cost 3,Gate Count 3,Runtime 3,Transpile Time 3
1.0,1.0,1.0,1.0,0.1082489871827098,0.0039882659912109,1.0,1.0,0.1037620351548968,0.0053834915161132,1.0,1.0,0.0992339215375947,0.0049889087677001,1.0,1.0,0.1159686118758966,0.9291539192199708,1.0,1.0,4.169145107269287,0.0029919147491455,1.0,1.0,4.19287355740865,0.0073975721995035,1.0,1.0,4.150344053904216,0.006179650624593,1.0,1.0,4.208614031473796,0.0085577170054117
2.0,1.0,3.0,3.0,0.1081323612423637,0.0039889812469482,3.0,3.0,0.1036249517894296,0.0044946670532226,3.0,3.0,0.0991505670139291,0.0064363479614257,3.0,3.0,0.094723890642604,0.0104525089263916,3.0,3.0,4.267238775889079,0.0041817029317219,3.0,3.0,4.456982936177935,0.0078287124633788,3.0,3.0,4.352833066667829,0.0085575921194893,3.0,3.0,4.563129101480756,0.0111564227512904
2.0,2.0,2.0,2.0,0.1081798204272172,0.003516674041748,2.0,2.0,0.1036945900910386,0.0049867630004882,2.0,2.0,0.0991874328604459,0.0055034160614013,2.0,2.0,0.0947593747493378,0.0094594955444335,2.0,2.0,4.23938250541687,0.0025043487548828,2.0,2.0,4.561201453208923,0.0058317780494689,2.0,2.0,4.602128446102142,0.008760392665863,2.0,2.0,4.438268804550171,0.0104494094848632
3.0,2.0,4.0,4.0,0.1080862399325382,0.0045194625854492,4.0,4.0,0.1036132149644432,0.0065202713012695,4.0,4.0,0.0991182740681227,0.0075681209564208,4.0,4.0,0.0947127021270553,0.0125019550323486,4.0,4.0,4.438207785288493,0.0043207009633381,4.0,4.0,4.278356013090714,0.0116289905879808,4.0,4.0,4.271587516950524,0.0096019454624341,4.0,4.0,4.334333202113276,0.0122520405313242
3.0,3.0,7.0,7.0,0.1079449973785138,0.0059857368469238,4.0,4.0,0.1036576499612755,0.0084524154663085,4.0,4.0,0.0991516496635964,0.0090193748474121,4.0,4.0,0.0947361807371782,0.0135228633880615,7.0,7.0,4.38354367017746,0.0054030418395995,4.0,4.0,4.278356013090714,0.0116289905879808,4.0,4.0,4.271587516950524,0.0096019454624341,4.0,4.0,4.334333202113276,0.0122520405313242
4.0,2.0,6.0,6.0,0.107957414107203,0.0039896965026855,6.0,6.0,0.1034746401973054,0.0055665969848632,6.0,6.0,0.099000315735843,0.0075109004974365,6.0,6.0,0.0945962461626349,0.012510061264038,6.0,6.0,4.434279544012887,0.003960473196847,6.0,6.0,4.4018498767506,0.0088836352030435,6.0,6.0,4.422399882114295,0.0107451857942522,6.0,6.0,4.320488525159432,0.013504021095507
4.0,3.0,5.0,5.0,0.1080386491534197,0.0049860477447509,5.0,5.0,0.1035561932629959,0.0065767765045166,5.0,5.0,0.0990586369306576,0.0075109004974365,5.0,5.0,0.0946314067668005,0.011502981185913,5.0,5.0,4.173403898874919,0.0046555995941161,5.0,5.0,4.342792684381658,0.0084299390966241,5.0,5.0,4.362111568450928,0.0102182518352161,5.0,5.0,4.391011942516673,0.0123879042538729
4.0,4.0,8.0,8.0,0.1078636910520702,0.00498628616333,3.0,3.0,0.1036821349806888,0.0069811344146728,3.0,3.0,0.0991994871819619,0.0085635185241699,3.0,3.0,0.0947710562204362,0.0125033855438232,8.0,8.0,4.326338481903076,0.0054950714111327,3.0,3.0,4.456982936177935,0.0078287124633788,3.0,3.0,4.352833066667829,0.0085575921194893,3.0,3.0,4.563129101480756,0.0111564227512904
5.0,1.0,50.0,10.0,0.1095204531365406,0.0069830417633056,5.0,1.0,0.1038913519202046,0.0034949779510498,5.0,1.0,0.0993836683125517,0.0039887428283691,5.0,1.0,0.0949563997670339,0.0079791545867919,50.0,10.0,4.235321879386902,0.0075126886367797,5.0,1.0,5.541636784871419,0.0048442681630451,5.0,1.0,4.260130008061727,0.0047216415405273,5.0,1.0,4.136666138966878,0.009210189183553
5.0,3.0,7.0,7.0,0.1079106677246185,0.0044929981231689,7.0,7.0,0.1034692418294189,0.0078678131103515,7.0,7.0,0.0989420438888778,0.0075130462646484,7.0,7.0,0.0945147150293218,0.0115008354187011,7.0,7.0,4.38354367017746,0.0054030418395995,7.0,7.0,4.412812028612409,0.0100584983825683,7.0,7.0,4.295934847423008,0.0119578293391635,7.0,7.0,4.404173427157932,0.0164593855539957
5.0,4.0,10.0,10.0,0.1077929586116608,0.0069825649261474,7.0,7.0,0.103483519807177,0.008488655090332,7.0,7.0,0.0989757210545422,0.0089774131774902,7.0,7.0,0.0945384897265411,0.0125346183776855,10.0,10.0,4.117536306381226,0.0085985660552978,7.0,7.0,4.412812028612409,0.0100584983825683,7.0,7.0,4.295934847423008,0.0119578293391635,7.0,7.0,4.404173427157932,0.0164593855539957
5.0,5.0,13.0,13.0,0.1075843068953638,0.0055177211761474,5.0,5.0,0.1036018564729688,0.0085623264312744,5.0,5.0,0.0991045359136886,0.0095067024230957,5.0,5.0,0.0946313519358567,0.011500597000122,13.0,13.0,4.29569690877741,0.0061223723671652,5.0,5.0,4.342792684381658,0.0084299390966241,5.0,5.0,4.362111568450928,0.0102182518352161,5.0,5.0,4.391011942516673,0.0123879042538729
6.0,2.0,25.0,9.0,0.1085320746744103,0.0065391063690185,7.0,3.0,0.1038480842995303,0.0066854953765869,7.0,3.0,0.0993709744261243,0.0085086822509765,7.0,3.0,0.0949895609988825,0.0144929885864257,25.0,9.0,4.2972283363342285,0.0094988346099853,7.0,3.0,4.315637191136678,0.0066430568695068,7.0,3.0,4.329840262730916,0.0095865726470946,7.0,3.0,4.314781665802002,0.0109837849934895
6.0,3.0,9.0,9.0,0.1077832839531044,0.0040259361267089,9.0,9.0,0.1033095078010798,0.0059940814971923,9.0,9.0,0.0988027398701878,0.0065276622772216,9.0,9.0,0.0943745720971922,0.0104789733886718,9.0,9.0,4.366194685300191,0.0046868324279784,9.0,9.0,4.405217130133447,0.0098345228966245,9.0,9.0,4.38229744485084,0.0115644323064925,9.0,9.0,4.3774750334151245,0.0144041852748139
6.0,4.0,12.0,12.0,0.107634655670954,0.0051710605621337,9.0,9.0,0.1033454275523444,0.0075559616088867,9.0,9.0,0.0988723258209281,0.0095534324645996,9.0,9.0,0.0944365529960314,0.0131740570068359,12.0,12.0,4.402934019382183,0.0045579580160287,9.0,9.0,4.405217130133447,0.0098345228966245,9.0,9.0,4.38229744485084,0.0115644323064925,9.0,9.0,4.3774750334151245,0.0144041852748139
6.0,5.0,11.0,11.0,0.1076887329507207,0.0049865245819091,4.0,4.0,0.1036354324628594,0.007486343383789,4.0,4.0,0.0991393346336253,0.00848388671875,4.0,4.0,0.0947000526283272,0.0119519233703613,11.0,11.0,4.300666110856192,0.0051194769995552,4.0,4.0,4.278356013090714,0.0116289905879808,4.0,4.0,4.271587516950524,0.0096019454624341,4.0,4.0,4.334333202113276,0.0122520405313242
6.0,6.0,10.0,10.0,0.1077474324790473,0.0050029754638671,3.0,3.0,0.1036821294975944,0.0069808959960937,3.0,3.0,0.0992319416175802,0.009974718093872,3.0,3.0,0.0947474898808032,0.0114786624908447,10.0,10.0,4.117536306381226,0.0085985660552978,3.0,3.0,4.456982936177935,0.0078287124633788,3.0,3.0,4.352833066667829,0.0085575921194893,3.0,3.0,4.563129101480756,0.0111564227512904
7.0,2.0,38.0,10.0,0.1090017913537606,0.0069649219512939,8.0,4.0,0.1037632962081572,0.0055346488952636,8.0,4.0,0.0992673299731882,0.006537914276123,8.0,4.0,0.09488526954081,0.0124940872192382,38.0,10.0,4.379868507385254,0.0080146789550781,8.0,4.0,4.363411386807759,0.0080405473709106,8.0,4.0,4.201679587364197,0.0090582370758056,8.0,4.0,4.434476415316264,0.0131059487660725
7.0,3.0,56.0,16.0,0.1091705095183698,0.0069823265075683,8.0,4.0,0.1038104617859893,0.0075855255126953,8.0,4.0,0.0993121433035326,0.0084865093231201,8.0,4.0,0.0949205093883718,0.014026403427124,56.0,16.0,4.34492301940918,0.0104999542236328,8.0,4.0,4.363411386807759,0.0080405473709106,8.0,4.0,4.201679587364197,0.0090582370758056,8.0,4.0,4.434476415316264,0.0131059487660725
7.0,4.0,14.0,14.0,0.1075152607679475,0.0050513744354248,5.0,5.0,0.1035742326434967,0.0073611736297607,5.0,5.0,0.0990810244049995,0.0084843635559082,5.0,5.0,0.094650619529498,0.0123383998870849,14.0,14.0,4.19525130589803,0.0059934986962211,5.0,5.0,4.342792684381658,0.0084299390966241,5.0,5.0,4.362111568450928,0.0102182518352161,5.0,5.0,4.391011942516673,0.0123879042538729
7.0,5.0,9.0,9.0,0.1077824450396647,0.0039894580841064,9.0,9.0,0.103320967468328,0.0064923763275146,9.0,9.0,0.0988034526724568,0.0065586566925048,9.0,9.0,0.0943762279916941,0.0105509757995605,9.0,9.0,4.366194685300191,0.0046868324279784,9.0,9.0,4.405217130133447,0.0098345228966245,9.0,9.0,4.38229744485084,0.0115644323064925,9.0,9.0,4.3774750334151245,0.0144041852748139
7.0,6.0,16.0,16.0,0.1074200572773328,0.0059835910797119,7.0,7.0,0.1034965695717946,0.0090560913085937,7.0,7.0,0.0990107251290458,0.0104994773864746,7.0,7.0,0.0945836978396807,0.0145003795623779,16.0,16.0,4.216858911514282,0.0061181545257568,7.0,7.0,4.412812028612409,0.0100584983825683,7.0,7.0,4.295934847423008,0.0119578293391635,7.0,7.0,4.404173427157932,0.0164593855539957
7.0,7.0,15.0,15.0,0.1074554481714623,0.0049865245819091,7.0,7.0,0.1034958238709593,0.0090236663818359,7.0,7.0,0.0989527578552907,0.0079789161682128,7.0,7.0,0.0945374863202701,0.0124909877777099,15.0,15.0,4.32232403755188,0.0059284210205077,7.0,7.0,4.412812028612409,0.0100584983825683,7.0,7.0,4.295934847423008,0.0119578293391635,7.0,7.0,4.404173427157932,0.0164593855539957
8.0,3.0,28.0,12.0,0.1083902618785707,0.0079805850982666,10.0,6.0,0.1037029103668374,0.0079808235168457,10.0,6.0,0.099206807054509,0.0089781284332275,10.0,6.0,0.0948369903718749,0.0154666900634765,28.0,12.0,4.380137284596761,0.009580373764038,10.0,6.0,4.570213556289673,0.0081398487091063,10.0,6.0,4.573449571927388,0.0091262261072794,10.0,6.0,4.520622213681539,0.0141741037368774
8.0,4.0,12.0,12.0,0.1075970361604324,0.0035352706909179,12.0,12.0,0.1031253984152148,0.0055963993072509,12.0,12.0,0.0986522637852323,0.0075924396514892,12.0,12.0,0.0942036879349649,0.0106563568115234,12.0,12.0,4.402934019382183,0.0045579580160287,12.0,12.0,4.435556622913905,0.0112424169267926,12.0,12.0,4.420548909051078,0.0130157130105154,12.0,12.0,4.408007416460249,0.0170821613735622
8.0,5.0,15.0,15.0,0.1074682621630216,0.0055437088012695,12.0,12.0,0.1031930543167344,0.0085382461547851,12.0,12.0,0.0986960737093056,0.0094974040985107,12.0,12.0,0.0942736302868397,0.0136976242065429,15.0,15.0,4.32232403755188,0.0059284210205077,12.0,12.0,4.435556622913905,0.0112424169267926,12.0,12.0,4.420548909051078,0.0130157130105154,12.0,12.0,4.408007416460249,0.0170821613735622
8.0,6.0,10.0,10.0,0.107736872039277,0.0045437812805175,6.0,6.0,0.1035202430932401,0.0075495243072509,6.0,6.0,0.0990469384873318,0.0095381736755371,6.0,6.0,0.0945729484946264,0.0114970207214355,10.0,10.0,4.117536306381226,0.0085985660552978,6.0,6.0,4.4018498767506,0.0088836352030435,6.0,6.0,4.422399882114295,0.0107451857942522,6.0,6.0,4.320488525159432,0.013504021095507
8.0,7.0,17.0,17.0,0.1073743855812463,0.0065336227416992,6.0,6.0,0.1035428827899233,0.0085339546203613,6.0,6.0,0.0990472400575226,0.0095512866973876,6.0,6.0,0.0946079032212807,0.013016939163208,17.0,17.0,4.417256975173951,0.0051569938659667,6.0,6.0,4.4018498767506,0.0088836352030435,6.0,6.0,4.422399882114295,0.0107451857942522,6.0,6.0,4.320488525159432,0.013504021095507
8.0,8.0,24.0,24.0,0.1069421651289271,0.0054912567138671,6.0,6.0,0.1035190916434209,0.0074994564056396,6.0,6.0,0.0990365151249209,0.009084939956665,6.0,6.0,0.0946096194298207,0.0130915641784667,24.0,24.0,4.360340356826782,0.0059843063354492,6.0,6.0,4.4018498767506,0.0088836352030435,6.0,6.0,4.422399882114295,0.0107451857942522,6.0,6.0,4.320488525159432,0.013504021095507
9.0,3.0,11.0,7.0,0.1080718303020687,0.0039892196655273,11.0,7.0,0.1035874224300467,0.0054950714111328,11.0,7.0,0.0991146277519156,0.0075058937072753,11.0,7.0,0.0947569890218931,0.0145239830017089,11.0,7.0,4.253006219863892,0.0045936107635498,11.0,7.0,4.267720556259155,0.0091902256011962,11.0,7.0,4.300604005654653,0.0116697748502095,11.0,7.0,4.24432388941447,0.0163724157545301
9.0,4.0,25.0,9.0,0.1085422348482912,0.0069808959960937,10.0,6.0,0.1036799362013972,0.0069818496704101,10.0,6.0,0.0991608696898173,0.0069806575775146,10.0,6.0,0.0947721308484877,0.0126464366912841,25.0,9.0,4.2972283363342285,0.0094988346099853,10.0,6.0,4.570213556289673,0.0081398487091063,10.0,6.0,4.573449571927388,0.0091262261072794,10.0,6.0,4.520622213681539,0.0141741037368774
9.0,5.0,13.0,9.0,0.1079916340407643,0.0055739879608154,8.0,4.0,0.1037864348664287,0.0065407752990722,8.0,4.0,0.0993361044259607,0.0095283985137939,8.0,4.0,0.0949319251908651,0.0145227909088134,13.0,9.0,4.552022695541382,0.0055000782012939,8.0,4.0,4.363411386807759,0.0080405473709106,8.0,4.0,4.201679587364197,0.0090582370758056,8.0,4.0,4.434476415316264,0.0131059487660725
9.0,6.0,16.0,16.0,0.1074103083355303,0.0055596828460693,5.0,5.0,0.1036012259171154,0.0085349082946777,5.0,5.0,0.0991049855274276,0.009526252746582,5.0,5.0,0.0946550005219053,0.0125288963317871,16.0,16.0,4.216858911514282,0.0061181545257568,5.0,5.0,4.342792684381658,0.0084299390966241,5.0,5.0,4.362111568450928,0.0102182518352161,5.0,5.0,4.391011942516673,0.0123879042538729
9.0,7.0,23.0,23.0,0.107001813232581,0.0055489540100097,9.0,9.0,0.1033680343504614,0.0085389614105224,9.0,9.0,0.0988947461938362,0.0105283260345458,9.0,9.0,0.0944446570095208,0.013526439666748,23.0,23.0,4.302980124950409,0.0061131715774535,9.0,9.0,4.405217130133447,0.0098345228966245,9.0,9.0,4.38229744485084,0.0115644323064925,9.0,9.0,4.3774750334151245,0.0144041852748139
9.0,8.0,22.0,22.0,0.1070701410746339,0.0059840679168701,7.0,7.0,0.1035300932108164,0.0105137825012207,7.0,7.0,0.0990106373995358,0.0104956626892089,7.0,7.0,0.0945615954862464,0.0135393142700195,22.0,22.0,4.276188717948066,0.0059391657511393,7.0,7.0,4.412812028612409,0.0100584983825683,7.0,7.0,4.295934847423008,0.0119578293391635,7.0,7.0,4.404173427157932,0.0164593855539957
9.0,9.0,25.0,25.0,0.1068722526725992,0.0049872398376464,9.0,9.0,0.1033451588807199,0.0075442790985107,9.0,9.0,0.0988716185017535,0.0095226764678955,9.0,9.0,0.0944324845400036,0.0129971504211425,25.0,25.0,4.279608945051829,0.0062532822291055,9.0,9.0,4.405217130133447,0.0098345228966245,9.0,9.0,4.38229744485084,0.0115644323064925,9.0,9.0,4.3774750334151245,0.0144041852748139
10.0,2.0,55.0,11.0,0.1096024806929206,0.0055742263793945,10.0,2.0,0.1039942097521233,0.0029919147491455,10.0,2.0,0.099475165172921,0.0029916763305664,10.0,2.0,0.0951057981040258,0.0094997882843017,55.0,11.0,4.265355825424194,0.0071368217468261,10.0,2.0,4.312747001647949,0.0049867630004882,10.0,2.0,4.331166982650757,0.0048213005065917,10.0,2.0,4.15661358833313,0.0095274448394775
10.0,4.0,27.0,11.0,0.108416419241769,0.0065820217132568,6.0,2.0,0.1039261062524419,0.0075421333312988,6.0,2.0,0.0994068752480308,0.0075337886810302,6.0,2.0,0.0950025589355757,0.0125222206115722,27.0,11.0,4.365857362747192,0.0074865818023681,6.0,2.0,4.331729084253311,0.0071674585342406,6.0,2.0,4.258769780397415,0.0071067810058593,6.0,2.0,4.307643592357636,0.0101786255836486
10.0,5.0,11.0,7.0,0.1080834434959595,0.0044941902160644,9.0,5.0,0.1037395623726736,0.0070385932922363,9.0,5.0,0.0992538330749067,0.0084869861602783,9.0,5.0,0.0948631970829226,0.0140702724456787,11.0,7.0,4.253006219863892,0.0045936107635498,9.0,5.0,4.369823767588689,0.0087634600125825,9.0,5.0,4.347501883139977,0.0093356279226449,9.0,5.0,4.346894062482393,0.0144693668072039
10.0,6.0,14.0,10.0,0.1079095820134855,0.0045421123504638,9.0,5.0,0.1037511097694318,0.0075407028198242,9.0,5.0,0.0992549625923484,0.0085361003875732,9.0,5.0,0.0948727431502332,0.0144853591918945,14.0,10.0,4.370177507400513,0.0042673746744791,9.0,5.0,4.369823767588689,0.0087634600125825,9.0,5.0,4.347501883139977,0.0093356279226449,9.0,5.0,4.346894062482393,0.0144693668072039
