Cost,Gate Count,Optimization Level,Runtime,Transpile Time
136,28,3,0.07952046394348145,0.0766448974609375
301,61,2,0.10354948043823242,0.05085921287536621
301,61,1,0.10566020011901855,0.03399848937988281
331,67,0,0.1000363826751709,0.01898503303527832
223,47,3,0.09574556350708008,0.0857245922088623
273,57,2,0.0946810245513916,0.04869389533996582
283,59,1,0.09561991691589355,0.026984691619873047
313,65,0,0.10764241218566895,0.022562503814697266
188,48,3,0.10557961463928223,0.12739205360412598
257,53,2,0.10361170768737793,0.0671548843383789
282,58,1,0.10613155364990234,0.030653953552246094
312,64,0,0.10234332084655762,0.02040719985961914
195,47,3,0.10498213768005371,0.10744476318359375
290,66,2,0.11296653747558594,0.05658102035522461
290,66,1,0.10256147384643555,0.0352017879486084
315,71,0,0.10927438735961914,0.020673751831054688
230,46,3,0.09303784370422363,0.1156165599822998
280,56,2,0.28436279296875,0.05101466178894043
315,63,1,0.1050562858581543,0.03653144836425781
330,66,0,0.10026764869689941,0.021004199981689453
143,51,3,0.08896088600158691,0.14787912368774414
356,76,2,0.1041555404663086,0.05001544952392578
411,87,1,0.1115117073059082,0.03643918037414551
399,87,0,0.10415959358215332,0.024943113327026367
178,46,3,0.08271574974060059,0.10741996765136719
258,62,2,0.09166765213012695,0.0594019889831543
283,67,1,0.09332132339477539,0.04265618324279785
322,82,0,0.09535741806030273,0.026512861251831055
245,65,3,0.0967402458190918,0.14665889739990234
308,68,2,0.09837150573730469,0.04950428009033203
233,53,1,0.09752178192138672,0.03403782844543457
369,85,0,0.10068535804748535,0.02500176429748535
136,40,3,0.08655166625976562,0.09589934349060059
256,64,2,0.10302925109863281,0.05100607872009277
256,64,1,0.10033035278320312,0.03697657585144043
247,67,0,0.23621916770935059,0.02428293228149414
150,42,3,0.08104467391967773,0.09128284454345703
195,51,2,0.09370875358581543,0.05598950386047363
165,45,1,0.09567594528198242,0.040457725524902344
229,73,0,0.10466313362121582,0.022018909454345703
138,50,3,0.08059000968933105,0.10937285423278809
184,52,2,0.09379339218139648,0.059541940689086914
168,48,1,0.09049606323242188,0.05116891860961914
301,85,0,0.09797883033752441,0.024021625518798828
222,74,3,0.09162402153015137,0.15062475204467773
322,78,2,0.0999443531036377,0.05005335807800293
275,67,1,0.09862494468688965,0.0413360595703125
300,80,0,0.09633994102478027,0.025008201599121094
206,62,3,0.08498167991638184,0.13472247123718262
311,75,2,0.10825920104980469,0.0569913387298584
356,84,1,0.09991145133972168,0.0400998592376709
285,73,0,0.09399700164794922,0.028343915939331055
258,82,3,0.08841419219970703,0.15341496467590332
429,105,2,0.10361504554748535,0.05575680732727051
434,106,1,0.10960626602172852,0.042720794677734375
352,96,0,0.09462785720825195,0.15518522262573242
126,46,3,0.08180546760559082,0.13694095611572266
224,56,2,0.0874636173248291,0.0583803653717041
334,78,1,0.10079574584960938,0.04064750671386719
344,92,0,0.10477995872497559,0.02864861488342285
189,65,3,0.0841982364654541,0.1473233699798584
240,68,2,0.0959780216217041,0.0565495491027832
287,79,1,0.10031652450561523,0.042359113693237305
354,106,0,0.10968494415283203,0.027161836624145508
217,61,3,0.08685731887817383,0.1464691162109375
342,90,2,0.09881591796875,0.05481410026550293
412,104,1,0.1020970344543457,0.05687141418457031
401,105,0,0.10755610466003418,0.0316309928894043
207,79,3,0.09528803825378418,0.18961858749389648
299,71,2,0.09255075454711914,0.0522153377532959
336,80,1,0.09804725646972656,0.04435586929321289
354,94,0,0.10548639297485352,0.02783203125
212,60,3,0.08564043045043945,0.1332380771636963
334,90,2,0.10660624504089355,0.0574648380279541
423,103,1,0.2300403118133545,0.044992685317993164
390,106,0,0.09577012062072754,0.02734684944152832
218,66,3,0.08611345291137695,0.1333615779876709
303,83,2,0.09639692306518555,0.05741286277770996
323,87,1,0.09837675094604492,0.04416775703430176
350,102,0,0.09971451759338379,0.02765798568725586
66,38,3,0.07655215263366699,0.12390613555908203
167,55,2,0.08694958686828613,0.05017399787902832
167,55,1,0.08982014656066895,0.0406644344329834
223,99,0,0.09784078598022461,0.028000831604003906
165,61,3,0.08334922790527344,0.13773012161254883
259,75,2,0.09341692924499512,0.05221056938171387
330,94,1,0.10349774360656738,0.04182720184326172
277,105,0,0.09733152389526367,0.027719974517822266
214,78,3,0.09742975234985352,0.16909241676330566
412,96,2,0.11819005012512207,0.06559991836547852
462,106,1,0.12284970283508301,0.04583907127380371
437,117,0,0.2546522617340088,0.0311582088470459
155,59,3,0.09477949142456055,0.13396215438842773
200,68,2,0.1040956974029541,0.06127786636352539
231,75,1,0.10408234596252441,0.04517483711242676
243,99,0,0.11479711532592773,0.031155824661254883
63,27,3,0.09233951568603516,0.07022666931152344
101,41,2,0.0983891487121582,0.042241811752319336
101,41,1,0.0964503288269043,0.0301973819732666
307,115,0,0.10836100578308105,0.03335976600646973
181,73,3,0.08981466293334961,0.18852686882019043
325,89,2,0.10036182403564453,0.05736708641052246
325,89,1,0.10810375213623047,0.0444033145904541
357,109,0,0.11483287811279297,0.03234982490539551
177,69,3,0.08530998229980469,0.1579904556274414
407,115,2,0.10393786430358887,0.06471586227416992
407,115,1,0.11198306083679199,0.04521489143371582
457,153,0,0.10824465751647949,0.03136801719665527
106,54,3,0.08110880851745605,0.11885762214660645
234,74,2,0.09163498878479004,0.05339980125427246
218,66,1,0.09352636337280273,0.04414772987365723
257,121,0,0.08841919898986816,0.16661357879638672
143,63,3,0.08149981498718262,0.15186548233032227
231,75,2,0.09483003616333008,0.052533626556396484
221,73,1,0.09807968139648438,0.04201054573059082
295,131,0,0.10215473175048828,0.025317907333374023
150,58,3,0.08909130096435547,0.1365523338317871
326,86,2,0.10191464424133301,0.060080766677856445
303,79,1,0.09717392921447754,0.04434013366699219
379,123,0,0.09917855262756348,0.030508995056152344
155,55,3,0.08639025688171387,0.11617851257324219
234,74,2,0.09782934188842773,0.07616639137268066
205,69,1,0.09167265892028809,0.055864810943603516
247,111,0,0.09267330169677734,0.02816939353942871
190,78,3,0.09525656700134277,0.16557097434997559
330,102,2,0.1207435131072998,0.07407236099243164
317,101,1,0.10942602157592773,0.06079292297363281
430,154,0,0.10815119743347168,0.032164812088012695
52,28,3,0.19988536834716797,0.054505348205566406
44,20,2,0.08584141731262207,0.030332326889038086
44,20,1,0.09615874290466309,0.02820897102355957
210,138,0,0.09518885612487793,0.02849292755126953
98,54,3,0.08109879493713379,0.07819342613220215
90,42,2,0.08423709869384766,0.03801155090332031
90,42,1,0.09682965278625488,0.02829456329345703
245,125,0,0.09848308563232422,0.031195402145385742
69,45,3,0.08343338966369629,0.08969974517822266
58,30,2,0.09018182754516602,0.04164719581604004
62,34,1,0.09065937995910645,0.03133749961853027
274,150,0,0.09583115577697754,0.031174898147583008
167,67,3,0.08460545539855957,0.16410183906555176
203,63,2,0.09461760520935059,0.06447482109069824
158,54,1,0.10088396072387695,0.051642417907714844
270,114,0,0.09563803672790527,0.03032994270324707
93,45,3,0.07904481887817383,0.12821555137634277
191,59,2,0.2145700454711914,0.05814409255981445
171,55,1,0.09338617324829102,0.04585099220275879
247,131,0,0.09586334228515625,0.031164884567260742
149,65,3,0.0921928882598877,0.15397143363952637
127,43,2,0.09279775619506836,0.05335044860839844
146,50,1,0.0975191593170166,0.04606223106384277
182,110,0,0.09973621368408203,0.030078887939453125
79,43,3,0.10278201103210449,0.08954620361328125
67,31,2,0.08897256851196289,0.0379793643951416
67,31,1,0.09353852272033691,0.02917313575744629
285,141,0,0.10227060317993164,0.031052112579345703
139,55,3,0.09510684013366699,0.15383291244506836
283,83,2,0.10228562355041504,0.06798815727233887
293,85,1,0.10378909111022949,0.05140995979309082
379,151,0,0.11672258377075195,0.03561902046203613
104,56,3,0.08870410919189453,0.14998269081115723
179,59,2,0.10304832458496094,0.06315422058105469
149,53,1,0.09806537628173828,0.05106019973754883
248,140,0,0.23065829277038574,0.03232622146606445
141,65,3,0.10374212265014648,0.20417332649230957
171,59,2,0.10313534736633301,0.06516766548156738
238,74,1,0.12143826484680176,0.061162471771240234
246,126,0,0.10228872299194336,0.03175616264343262
72,40,3,0.0943753719329834,0.06919717788696289
75,35,2,0.10193514823913574,0.04451799392700195
75,35,1,0.10945606231689453,0.033370256423950195
295,171,0,0.1089940071105957,0.032785892486572266
179,67,3,0.11432123184204102,0.19485163688659668
183,63,2,0.10316252708435059,0.06503915786743164
188,64,1,0.0988624095916748,0.05217266082763672
260,136,0,0.09830021858215332,0.03288078308105469
158,70,3,0.08825421333312988,0.18782353401184082
178,50,2,0.10975909233093262,0.05487346649169922
158,46,1,0.09000682830810547,0.049880027770996094
300,152,0,0.09532427787780762,0.03015589714050293
59,35,3,0.07902693748474121,0.07899212837219238
50,26,2,0.2193596363067627,0.033289432525634766
50,26,1,0.09314322471618652,0.0311887264251709
192,156,0,0.08549809455871582,0.028469085693359375
133,61,3,0.08058524131774902,0.1332259178161621
193,57,2,0.09068727493286133,0.06042218208312988
180,56,1,0.09895586967468262,0.05197620391845703
327,159,0,0.0991218090057373,0.03354930877685547
137,73,3,0.0852210521697998,0.16882801055908203
227,79,2,0.09004092216491699,0.06151938438415527
227,79,1,0.09486889839172363,0.050193071365356445
332,172,0,0.10548591613769531,0.03606605529785156
38,22,3,0.08234977722167969,0.05609750747680664
38,22,2,0.08748149871826172,0.04108619689941406
40,24,1,0.09565949440002441,0.03061079978942871
191,163,0,0.10224390029907227,0.031202316284179688
127,51,3,0.09008288383483887,0.14717555046081543
199,63,2,0.09544134140014648,0.06056332588195801
200,64,1,0.09655570983886719,0.050052642822265625
284,160,0,0.09462237358093262,0.031362056732177734
157,81,3,0.09181451797485352,0.16757559776306152
242,74,2,0.09468936920166016,0.20485949516296387
238,74,1,0.09835958480834961,0.0532989501953125
394,194,0,0.10483098030090332,0.034062862396240234
46,34,3,0.09123682975769043,0.1000053882598877
43,31,2,0.09776949882507324,0.04916644096374512
45,33,1,0.09638404846191406,0.03652215003967285
250,178,0,0.09902358055114746,0.0355374813079834
88,40,3,0.08950662612915039,0.15369820594787598
200,60,2,0.09623003005981445,0.06415200233459473
202,62,1,0.10229706764221191,0.05281496047973633
309,169,0,0.10650515556335449,0.03571295738220215
106,54,3,0.07975387573242188,0.13389182090759277
216,68,2,0.09330272674560547,0.06363606452941895
193,65,1,0.10056543350219727,0.049481868743896484
293,165,0,0.09623432159423828,0.03684806823730469
23,19,3,0.08530068397521973,0.04071164131164551
21,17,2,0.09179377555847168,0.034598350524902344
21,17,1,0.22938156127929688,0.033492088317871094
203,187,0,0.10089802742004395,0.03222346305847168
99,51,3,0.08352041244506836,0.13991713523864746
188,56,2,0.09235692024230957,0.06097149848937988
188,56,1,0.09974098205566406,0.05358767509460449
300,160,0,0.1099388599395752,0.03906130790710449
131,67,3,0.09172964096069336,0.17927002906799316
153,53,2,0.09354543685913086,0.06455516815185547
157,57,1,0.09660720825195312,0.05221986770629883
298,174,0,0.09900069236755371,0.03502964973449707
12,12,3,0.08629274368286133,0.027458906173706055
12,12,2,0.09499788284301758,0.03016829490661621
12,12,1,0.09298229217529297,0.029990434646606445
193,193,0,0.09549117088317871,0.0210111141204834
129,61,3,0.0915215015411377,0.17138028144836426
174,54,2,0.09574723243713379,0.0641930103302002
156,52,1,0.0930778980255127,0.05910134315490723
295,179,0,0.09808826446533203,0.03554272651672363
81,49,3,0.24866843223571777,0.15065789222717285
214,66,2,0.10228514671325684,0.06926083564758301
187,63,1,0.10623383522033691,0.055234670639038086
294,182,0,0.1150820255279541,0.0366666316986084
89,57,3,0.09000253677368164,0.14063215255737305
167,51,2,0.10345697402954102,0.06420755386352539
167,51,1,0.11198878288269043,0.05210471153259277
287,183,0,0.10067057609558105,0.03635978698730469
22,18,3,0.08527684211730957,0.0587923526763916
20,16,2,0.09216070175170898,0.04434609413146973
20,16,1,0.09187769889831543,0.038667917251586914
223,187,0,0.09441781044006348,0.03633713722229004
15,15,3,0.07674169540405273,0.028368473052978516
15,15,2,0.09002494812011719,0.030681371688842773
15,15,1,0.09117460250854492,0.028818845748901367
208,208,0,0.09000205993652344,0.0208432674407959
67,39,3,0.07718348503112793,0.08018207550048828
51,23,2,0.08532834053039551,0.03548288345336914
51,23,1,0.21047449111938477,0.031998395919799805
225,173,0,0.09075593948364258,0.030983448028564453
27,23,3,0.0789499282836914,0.04236912727355957
21,17,2,0.08466291427612305,0.034752845764160156
21,17,1,0.09066319465637207,0.032364606857299805
259,219,0,0.09799742698669434,0.03484702110290527
24,20,3,0.0809013843536377,0.0438387393951416
20,16,2,0.08988404273986816,0.03470730781555176
20,16,1,0.09421610832214355,0.03299283981323242
197,193,0,0.09177446365356445,0.019816160202026367
69,41,3,0.0841987133026123,0.09125924110412598
49,21,2,0.09416317939758301,0.03844881057739258
49,21,1,0.09038090705871582,0.03486156463623047
269,205,0,0.08916211128234863,0.03202247619628906
37,29,3,0.07587051391601562,0.0557103157043457
28,20,2,0.09016680717468262,0.032370567321777344
30,22,1,0.09255433082580566,0.03340601921081543
212,168,0,0.09379982948303223,0.03680706024169922
88,52,3,0.08650875091552734,0.1374645233154297
204,60,2,0.21347308158874512,0.07457375526428223
204,60,1,0.09891676902770996,0.05467534065246582
335,203,0,0.09726428985595703,0.03533220291137695
37,29,3,0.07785534858703613,0.04785490036010742
33,25,2,0.07718825340270996,0.03733944892883301
33,25,1,0.08978271484375,0.035863399505615234
216,196,0,0.09137439727783203,0.034517765045166016
41,33,3,0.08530759811401367,0.058211326599121094
33,21,2,0.08281493186950684,0.041116952896118164
38,26,1,0.09432673454284668,0.0316314697265625
222,186,0,0.0903618335723877,0.03644609451293945
36,24,3,0.0865488052368164,0.06906676292419434
