ActCost,Act Gate Count,sim Cost 0,sim Gate Count 0,sim Runtime 0,sim Transpile Time 0,sim Cost 1,sim Gate Count 1,sim Runtime 1,sim Transpile Time 1,sim Cost 2,sim Gate Count 2,sim Runtime 2,sim Transpile Time 2,sim Cost 3,sim Gate Count 3,sim Runtime 3,sim Transpile Time 3,Cost 0,Gate Count 0,Runtime 0,Transpile Time 0,Qubits 0,Cost 1,Gate Count 1,Runtime 1,Transpile Time 1,Qubits 1,Cost 2,Gate Count 2,Runtime 2,Transpile Time 2,Qubits 2,Cost 3,Gate Count 3,Runtime 3,Transpile Time 3,Qubits 3
1,1,1.0,1.0,0.1082148384709289,0.0025033950805664,1.0,1.0,0.1037780622397612,0.0060803890228271,1.0,1.0,0.0992109144735882,0.00398850440979,1.0,1.0,0.0947711499559849,0.0074355602264404,1.0,1.0,0.0663928985595703,0.0019922256469726,{6: 1},1.0,1.0,0.082270860671997,0.0,{6: 1},1.0,1.0,0.1754913330078125,0.006786823272705,{1: 1},1.0,1.0,0.0839436054229736,0.0115513801574707,{5: 1}
2,1,3.0,3.0,0.1082249158754498,0.0080134868621826,3.0,3.0,0.1037061015862113,0.0080232620239257,3.0,3.0,0.0991525683433767,0.0065233707427978,3.0,3.0,0.094794183912519,0.0135090351104736,3.0,3.0,0.0641167163848877,0.0075106620788574,{4: 3},3.0,3.0,0.0837094783782959,0.0100326538085937,{4: 3},3.0,3.0,0.0813643932342529,0.0090048313140869,{1: 3},3.0,3.0,0.0869588851928711,0.0123248100280761,{5: 3}
2,2,2.0,2.0,0.1082136291871466,0.0049867630004882,2.0,2.0,0.1037404890740697,0.0069825649261474,2.0,2.0,0.0992214499779617,0.0069825649261474,2.0,2.0,0.0948290484295882,0.0124890804290771,2.0,2.0,0.0664432048797607,0.0050187110900878,"{5: 1, 6: 1}",2.0,2.0,0.0842278003692627,0.0040011405944824,"{5: 1, 6: 1}",2.0,2.0,0.084932804107666,0.0090003013610839,"{1: 1, 3: 1}",2.0,2.0,0.0886826515197753,0.0097725391387939,"{3: 1, 5: 1}"
3,2,4.0,4.0,0.1081088576968439,0.0055029392242431,4.0,4.0,0.1036484164303444,0.0080509185791015,4.0,4.0,0.0991970825836054,0.0109949111938476,4.0,4.0,0.0947807582944644,0.0154612064361572,4.0,4.0,0.0679855346679687,0.0039966106414794,"{2: 3, 1: 1}",4.0,4.0,0.0835587978363037,0.0090134143829345,"{2: 3, 1: 1}",4.0,4.0,0.0783443450927734,0.0100114345550537,"{1: 3, 3: 1}",4.0,4.0,0.08366060256958,0.0130295753479003,"{5: 3, 3: 1}"
3,3,3.0,3.0,0.1081214773000251,0.0035157203674316,1.0,1.0,0.1038345600442233,0.0085370540618896,1.0,1.0,0.0993841583235283,0.011521577835083,1.0,1.0,0.0948882578856919,0.0125277042388916,3.0,3.0,0.0659477710723877,0.0045030117034912,{6: 3},1.0,1.0,0.0876173973083496,0.0066874027252197,{6: 1},1.0,1.0,0.0798447132110595,0.0100009441375732,{5: 1},1.0,1.0,0.0810871124267578,0.012486457824707,{1: 1}
4,2,6.0,6.0,0.1080383171647377,0.0075075626373291,6.0,6.0,0.1035662791536305,0.0095512866973876,6.0,6.0,0.0990737234033641,0.0107028484344482,6.0,6.0,0.0946299671930543,0.0139763355255126,6.0,6.0,0.0669085979461669,0.005519151687622,"{4: 3, 6: 3}",6.0,6.0,0.0807352066040039,0.0080137252807617,"{4: 3, 6: 3}",6.0,6.0,0.1703128814697265,0.0099995136260986,"{1: 3, 3: 3}",6.0,6.0,0.0842413902282714,0.0150399208068847,"{3: 3, 5: 3}"
4,3,9.0,9.0,0.107782724677478,0.0040016174316406,6.0,6.0,0.1035422028862205,0.0085043907165527,6.0,6.0,0.0991155265148955,0.0125205516815185,6.0,6.0,0.0947426776810708,0.0188772678375244,9.0,9.0,0.068105936050415,0.0055131912231445,"{2: 5, 1: 3, 5: 1}",6.0,6.0,0.0807549953460693,0.0085046291351318,"{1: 3, 2: 2, 5: 1}",6.0,6.0,0.0788328647613525,0.0140058994293212,"{5: 3, 3: 2, 6: 1}",6.0,6.0,0.0817170143127441,0.0160431861877441,"{1: 3, 3: 2, 2: 1}"
4,4,16.0,16.0,0.1073746353235126,0.0040085315704345,3.0,3.0,0.1037291689642559,0.009026288986206,3.0,3.0,0.0992790194659023,0.012021780014038,3.0,3.0,0.0948064934593956,0.0140442848205566,16.0,16.0,0.0642697811126709,0.0040211677551269,"{2: 10, 1: 5, 6: 1}",3.0,3.0,0.0792250633239746,0.008023977279663,"{1: 2, 6: 1}",3.0,3.0,0.0801596641540527,0.0124995708465576,"{4: 2, 3: 1}",3.0,3.0,0.077256441116333,0.0155446529388427,"{2: 2, 3: 1}"
5,1,5.0,1.0,0.1083990958418957,0.0030038356781005,5.0,1.0,0.1038801718907696,0.0030088424682617,5.0,1.0,0.0993607434949609,0.0029919147491455,5.0,1.0,0.0950025345231232,0.0099852085113525,5.0,1.0,0.0685584545135498,0.0040068626403808,"{'1,3': 1}",5.0,1.0,0.0801630020141601,0.0040056705474853,"{'1,3': 1}",5.0,1.0,0.0814635753631591,0.0055561065673828,"{'1,3': 1}",5.0,1.0,0.0766987800598144,0.0115702152252197,"{'5,3': 1}"
5,3,7.0,7.0,0.1079108212512611,0.0044996738433837,7.0,7.0,0.1034729374350291,0.008028507232666,7.0,7.0,0.0989620681495431,0.0083837509155273,7.0,7.0,0.0945603892054834,0.0134868621826171,7.0,7.0,0.0641765594482421,0.0023279190063476,"{1: 3, 5: 3, 6: 1}",7.0,7.0,0.0918059349060058,0.0080468654632568,"{1: 3, 5: 3, 6: 1}",7.0,7.0,0.0878808498382568,0.0139355659484863,"{1: 3, 3: 3, 0: 1}",7.0,7.0,0.0843305587768554,0.0160472393035888,"{3: 3, 5: 3, 6: 1}"
