Cost,Depth,Selected Optimization Level,time0,depth0,time1,depth1,time2,depth2,time3,depth3,Actual Optimization Level,Time Difference
29,25,2,5.186320638656616,65.0,5.080359363555909,1.0,5.174442195892334,1.0,5.210419178009033,1.0,1,199.99926183801315
90,45,2,5.162362432479858,111.0,5.190741300582886,12.0,5.144932413101197,10.0,5.288621425628662,12.0,2,199.94568295748988
40,26,1,5.318859529495239,52.0,5.240424251556396,3.0,5.216840600967407,3.0,5.207282400131225,9.0,1,199.97807351002345
49,30,3,5.202386665344238,88.0,5.086355495452881,3.0,5.207928276062011,3.0,5.0596386909484865,3.0,3,199.97458202193334
62,37,1,5.139334869384766,107.0,5.309703683853149,3.0,5.136132383346558,3.0,5.314775800704956,3.0,2,199.96963014312462
98,76,3,5.1389936923980715,77.6,5.291480302810669,10.0,5.416091680526733,10.0,5.245152425765991,10.0,1,199.9393719624555
26,13,3,5.448470687866211,20.0,5.239300537109375,5.0,5.2512640953063965,5.0,5.228246259689331,10.0,1,199.9833931652817
52,50,3,5.2715715885162355,114.0,5.116451549530029,1.0,5.145466089248657,1.0,5.175966453552246,1.0,1,199.97007176880777
81,58,1,5.3497833728790285,57.2,5.218468427658081,15.0,5.208757734298706,13.0,5.236550903320312,20.0,2,199.95976388000568
4,2,3,5.274990034103394,6.0,5.176983594894409,0.0,5.212308645248413,0.0,5.200961542129517,0.0,1,199.9984429853102
93,31,1,5.703524160385132,63.0,5.271599340438843,3.0,5.2049956798553465,3.0,5.202587127685547,3.0,3,199.9676253224395
68,64,2,5.252054452896118,132.0,5.324749994277954,4.0,5.301466655731201,2.0,5.1850611686706545,10.0,2,199.97537053763975
80,52,3,5.105707263946533,132.0,5.190100145339966,2.0,5.408631896972656,2.0,5.2613920211792,2.0,1,199.96711054728695
26,21,1,5.1434015274047855,38.2,5.299329805374145,5.0,5.197726440429688,4.0,5.117963361740112,10.0,2,199.99789515766636
63,39,3,5.226548528671264,72.2,5.213894462585449,12.0,5.184718418121338,10.0,5.321272468566894,16.0,2,199.9765198344033
20,11,1,5.2248146533966064,25.8,5.226268482208252,6.0,5.186038827896118,5.0,5.202599954605103,9.0,2,199.98974243047613
3,3,3,5.22830057144165,7.0,5.249794292449951,0.0,5.132354831695556,0.0,5.320333862304688,0.0,2,199.95245240763177
54,11,3,5.276736259460449,13.2,5.206395149230957,8.0,5.255258464813233,8.0,5.189817428588867,16.0,1,199.98031498904
44,42,3,5.2468311309814455,94.0,5.830699729919433,2.0,5.881949329376221,2.0,5.1533912181854244,2.0,3,199.9733388426993
92,5,3,5.222660112380981,21.2,5.444547843933106,21.6,5.320846128463745,21.4,5.416539192199707,16.8,3,199.93745826306701
45,30,3,5.217491912841797,80.4,5.3594043254852295,4.0,5.111261367797852,4.0,5.281144380569458,10.0,2,199.97584951457702
22,15,2,5.1725414276123045,32.6,5.314072036743164,4.0,5.124305295944214,4.0,5.0955907821655275,10.0,1,199.9864562854413
93,5,1,5.339514684677124,22.2,5.246631002426147,17.4,5.322258234024048,15.8,5.366490030288697,18.4,2,199.94005422594884
57,34,3,5.382465505599976,53.4,5.129202651977539,8.0,5.110081434249878,8.0,5.1737494468688965,11.0,2,199.96796731324227
89,87,3,5.096104335784912,211.0,5.241724586486816,1.0,5.166466617584229,1.0,5.1452803134918215,1.0,1,199.934101333727
89,65,3,5.1661255836486815,86.0,5.2082010269165036,12.0,5.397349452972412,12.0,5.177399778366089,10.0,3,199.9354356839329
75,62,3,5.367148160934448,80.2,5.191240835189819,8.0,5.181720829010009,4.0,5.117852830886841,10.0,2,199.95238015991518
57,33,3,5.202840137481689,72.8,5.095235967636109,5.0,5.115423727035522,5.0,5.107258749008179,8.0,1,199.98866861625152
38,4,3,5.1029575824737545,16.0,5.137136793136596,7.0,5.141878747940064,5.0,5.436021566390991,5.0,2,199.98259095387803
27,15,3,5.09942307472229,43.0,5.10583462715149,2.0,5.2184805393219,2.0,5.061528205871582,2.0,3,199.9945013013222
75,54,3,5.078289031982422,114.0,5.187638235092163,1.0,5.130374813079834,1.0,5.17494649887085,1.0,1,199.98175796198223
83,44,3,5.269859409332275,111.4,5.184571647644043,7.0,5.322634553909301,5.0,5.249204635620117,11.0,2,199.9513495274383
29,2,3,5.285439300537109,5.6,5.336265134811401,4.0,5.42288498878479,4.0,5.242279386520385,11.0,1,199.98036300973254
68,38,3,5.259105968475342,83.4,5.235620641708374,11.0,5.152055311203003,9.0,5.126265668869019,11.0,2,199.96015763622458
51,32,3,5.194838380813598,42.4,5.247737216949463,13.0,5.225728130340576,12.0,5.2154699802398685,12.0,2,199.97201212357675
58,21,3,5.254285383224487,39.0,5.368869590759277,4.0,5.258811807632446,4.0,5.2654520034790036,10.0,1,199.95403696442725
76,20,3,5.3639894962310795,30.8,5.472566986083985,16.8,5.320907688140869,16.6,5.474989891052246,13.4,3,199.94785710107303
97,33,3,5.539903926849365,51.0,5.2135223865509035,19.2,5.305402088165283,18.8,5.249282264709473,21.8,2,199.9309191698069
80,10,2,5.286694288253784,34.6,5.29935245513916,20.2,5.379321813583374,20.6,5.215119457244873,17.8,3,199.9481597233467
51,15,2,5.236114740371704,20.2,5.20156192779541,14.0,5.253600025177002,11.8,5.365975713729858,16.4,2,199.97188927975472
5,5,3,5.1955461502075195,9.0,5.203859281539917,0.0,5.150828838348389,0.0,5.1964888095855715,0.0,2,199.9163726019876
5,1,3,5.2098259925842285,3.0,5.323419809341431,3.0,5.181823205947876,3.0,5.180460786819458,3.0,3,199.9839459582448
81,8,3,5.220861148834229,24.0,5.1621315479278564,5.0,5.275829076766968,5.0,5.184080028533936,8.0,1,199.94827147396242
54,31,1,5.266413879394531,48.2,5.2157491683959964,9.0,5.4002173900604244,8.0,5.252473926544189,10.0,2,199.96394586916657
31,28,3,5.271317815780639,86.0,5.167143535614014,3.0,5.2850799560546875,3.0,5.238941621780396,3.0,1,199.98089424800258
75,10,3,5.244682502746582,33.4,5.189575433731079,16.6,5.263869380950927,16.6,5.2373898983001705,16.0,3,199.94804972945863
54,40,3,5.208178091049194,68.0,5.2988039493560795,5.0,5.329131078720093,5.0,5.193726587295532,14.0,1,199.96809262501102
64,53,2,5.158761978149414,119.0,5.139196586608887,6.0,5.197864437103272,6.0,5.177411317825317,10.0,1,199.9597435077123
