cost,depth,tqc3TT,tqc3RT,tqc3Depth,tqc2TT,tqc2RT,tqc2Depth,tqc1TT,tqc1RT,tqc1Depth,tqc0TT,tqc0RT,tqc0Depth
2,1,0.0133666038513183,0.1026382207870483,3.0,0.0202166557312011,0.095237112045288,3.0,0.0089248657226562,0.0959914207458496,3.0,0.0066718339920043,0.1034875154495239,3.0
3,1,0.0184183597564697,0.0973231554031372,3.0,0.0150069236755371,0.0939433336257934,3.0,0.0217089176177978,0.0911300897598266,3.0,0.0090489149093627,0.0925833702087402,5.0
3,2,0.0172573328018188,0.0990765810012817,3.0,0.014845323562622,0.0978549718856811,3.0,0.0123691797256469,0.1058539628982544,3.0,0.008970832824707,0.1027463674545288,8.0
4,1,0.01856529712677,0.0983296155929565,2.0,0.0234546661376953,0.0919743776321411,2.0,0.0126099586486816,0.0965972423553466,2.0,0.0092417001724243,0.1035248756408691,5.0
4,2,0.0145771980285644,0.1094007730484008,0.0,0.0133031129837036,0.119118070602417,0.0,0.0103674888610839,0.1029296875,0.0,0.0081758499145507,0.1173838138580322,6.0
4,3,0.0205979108810424,0.1131070375442504,3.0,0.0179083347320556,0.1109143495559692,3.0,0.0256356954574584,0.1100048303604126,3.0,0.0104919910430908,0.1156556129455566,9.0
5,1,0.0133169174194335,0.1157266616821289,1.0,0.0069380521774291,0.1087337732315063,1.0,0.0072656869888305,0.1074432849884033,1.0,0.0109378337860107,0.1209118843078613,2.0
5,2,0.0192704677581787,0.100613784790039,3.0,0.0140322208404541,0.1077226400375366,3.0,0.0133060932159423,0.1188411951065063,3.0,0.0086877822875976,0.1177128076553344,4.0
5,3,0.0234804630279541,0.1149678230285644,2.0,0.0171899557113647,0.1226444482803344,2.0,0.0144682884216308,0.1186828136444091,2.0,0.009477949142456,0.103969669342041,11.0
5,4,0.0176641225814819,0.1062543392181396,3.0,0.015291404724121,0.1073246240615844,3.0,0.0121642589569091,0.101952052116394,3.0,0.0085075616836547,0.1099010705947876,6.0
6,1,0.0148138523101806,0.1059801816940307,1.0,0.0101614952087402,0.102347731590271,1.0,0.010029649734497,0.1189425468444824,1.0,0.0139445304870605,0.1251617193222046,3.0
6,2,0.0206015825271606,0.1153436183929443,3.0,0.0166972875595092,0.1321906566619873,3.0,0.0127783775329589,0.1188493490219116,3.0,0.0085127115249633,0.1183843374252319,6.0
6,3,0.017486572265625,0.1111258268356323,3.0,0.0137143611907958,0.1046158790588378,3.0,0.0117793083190917,0.1176950216293335,3.0,0.0086567401885986,0.1187555313110351,9.0
6,4,0.0200775146484375,0.1198968172073364,2.0,0.0158520936965942,0.1058755159378051,2.0,0.0125327348709106,0.1132124662399292,2.0,0.0093522310256958,0.123323106765747,8.0
6,5,0.0201222896575927,0.1052181005477905,1.0,0.0243574380874633,0.1008079528808593,1.0,0.0237190008163452,0.102083683013916,1.0,0.0094440698623657,0.1149421453475952,13.0
7,1,0.0184547424316406,0.1030789613723754,3.0,0.0224174261093139,0.1042662858963012,3.0,0.0103954315185546,0.1176222085952758,3.0,0.007897925376892,0.1056948184967041,3.0
7,2,0.0248403549194335,0.1103499889373779,3.0,0.0172461509704589,0.1167993068695068,3.0,0.0135081768035888,0.108402681350708,3.0,0.0107006549835205,0.1313747644424438,6.0
7,3,0.0220967531204223,0.1080593585968017,2.0,0.0136916399002075,0.1109090328216552,2.0,0.0127730846405029,0.1035942792892456,2.0,0.0131438732147216,0.1102964878082275,7.6
7,4,0.0158137559890747,0.1066134452819824,1.0,0.0128560543060302,0.1048263311386108,1.0,0.0234573602676391,0.1079286813735962,1.0,0.0081536293029785,0.1148757696151733,8.0
7,5,0.0163416147232055,0.1067810535430908,1.0,0.0133697748184204,0.1008592844009399,1.0,0.0118504285812377,0.1136536598205566,1.0,0.0103157043457031,0.1293787479400635,9.0
7,6,0.0223125219345092,0.1113862752914428,3.0,0.0172449111938476,0.10324387550354,3.0,0.0141939401626586,0.1100203275680542,3.0,0.0107942819595336,0.1099125385284423,16.0
8,1,0.0276464939117431,0.0976387739181518,3.0,0.0125963449478149,0.1046549558639526,3.0,0.0117438793182373,0.1173876285552978,3.0,0.0083998203277587,0.1124745368957519,3.0
8,2,0.0252209901809692,0.0962100267410278,3.0,0.0167506217956542,0.111618947982788,3.0,0.0160474777221679,0.117358922958374,3.0,0.0160117149353027,0.1053490161895751,7.0
8,3,0.0225414752960205,0.1041826009750366,4.0,0.0157261848449707,0.1112555027008056,4.0,0.0141466379165649,0.1126323699951171,4.0,0.0143001556396484,0.1035761594772338,6.0
8,4,0.0230180501937866,0.1070029973983764,3.0,0.0280531644821167,0.0979385375976562,3.0,0.0151262521743774,0.1017433166503906,3.0,0.0102159261703491,0.1102468013763427,18.0
8,5,0.0188533544540405,0.1042863368988037,3.0,0.0160472154617309,0.1131594657897949,3.0,0.0140545129776,0.1087869882583618,3.0,0.0099461317062377,0.1086068868637085,15.0
8,6,0.0170576333999633,0.1037388086318969,2.0,0.0140963792800903,0.1074678659439087,2.0,0.0119134187698364,0.103966736793518,2.0,0.0089015960693359,0.1090775251388549,10.0
8,7,0.0174970626831054,0.1056421041488647,3.0,0.0140990495681762,0.1083809375762939,3.0,0.0125175476074218,0.1025678634643554,3.0,0.0090479373931884,0.1127493858337402,9.0
9,1,0.019950246810913,0.1100366592407226,3.0,0.0137052774429321,0.1107049226760864,3.0,0.012404465675354,0.1215319156646728,3.0,0.0130280971527099,0.1139576435089111,3.8
9,2,0.0268084049224853,0.0999975204467773,3.0,0.0210978269577026,0.1126366138458252,3.0,0.0178116798400878,0.1139640092849731,3.0,0.0119147539138793,0.1072510004043579,5.0
9,3,0.019953179359436,0.110164475440979,1.0,0.0132098674774169,0.1153455257415771,1.0,0.0122544765472412,0.1153565406799316,1.0,0.013950753211975,0.1064834356307983,8.0
9,4,0.0246293544769287,0.1134792804718017,4.0,0.0170691728591918,0.1232452869415283,4.0,0.014700698852539,0.1147685766220092,4.0,0.0154961585998535,0.1059150218963623,7.0
9,5,0.0229592323303222,0.1092899799346923,2.0,0.0252361059188842,0.1037094116210937,2.0,0.0139416694641113,0.1135054111480712,2.0,0.0160474777221679,0.1043267011642456,10.0
9,6,0.0185991287231445,0.1082194089889526,3.0,0.015615963935852,0.1130596160888671,3.0,0.0127695798873901,0.1038339138031005,3.0,0.0094727277755737,0.1175237655639648,12.0
9,7,0.0183445215225219,0.1158986330032348,1.0,0.0146894454956054,0.1164438962936401,1.0,0.0126803874969482,0.1051897287368774,1.0,0.0090094804763793,0.1154925823211669,11.0
9,8,0.0211481094360351,0.1085644245147705,3.0,0.0175724506378173,0.1038500308990478,3.0,0.0151612520217895,0.1133800983428955,3.0,0.0114547491073608,0.1118864774703979,18.0
10,1,0.0247146844863891,0.102105712890625,1.0,0.0074590921401977,0.1091027498245239,1.0,0.007051396369934,0.1155363082885742,1.0,0.0110593080520629,0.1211287975311279,2.0
10,2,0.0183107376098632,0.1085670471191406,0.0,0.0089743614196777,0.1153433799743652,0.0,0.0062475681304931,0.1166910409927368,0.0,0.0042004585266113,0.1084729671478271,2.0
10,3,0.033509612083435,0.0990559339523315,4.0,0.0158004760742187,0.1124957084655761,4.0,0.0133928775787353,0.1144307613372802,4.0,0.0144335985183715,0.1062485456466674,6.0
