ActCost,Act Gate Count,sim Cost 0,sim Gate Count 0,sim Runtime 0,sim Transpile Time 0,sim Cost 1,sim Gate Count 1,sim Runtime 1,sim Transpile Time 1,sim Cost 2,sim Gate Count 2,sim Runtime 2,sim Transpile Time 2,sim Cost 3,sim Gate Count 3,sim Runtime 3,sim Transpile Time 3,Cost 0,Gate Count 0,Runtime 0,Transpile Time 0,Cost 1,Gate Count 1,Runtime 1,Transpile Time 1,Cost 2,Gate Count 2,Runtime 2,Transpile Time 2,Cost 3,Gate Count 3,Runtime 3,Transpile Time 3
1.0,1.0,1.0,1.0,0.1082489871827098,0.0039882659912109,1.0,1.0,0.1037620351548968,0.0053834915161132,1.0,1.0,0.0992339215375947,0.0049889087677001,1.0,1.0,0.1159686118758966,0.9291539192199708,1.0,1.0,4.169145107269287,0.0029919147491455,1.0,1.0,4.19287355740865,0.0073975721995035,1.0,1.0,4.150344053904216,0.006179650624593,1.0,1.0,4.208614031473796,0.0085577170054117
2,1,3.0,3.0,0.10814422665859585,0.0045049190521240234,3.0,3.0,0.10367121265668959,0.006506204605102539,3.0,3.0,0.09916389093326555,0.007015705108642578,3.0,3.0,0.09469070147233923,0.009009361267089844,3,3,4.267238775889079,0.004181702931721934,3,3,4.456982936177935,0.007828712463378856,3,3,4.352833066667829,0.00855759211948935,3,3,4.563129101480756,0.011156422751290414
2.0,2.0,6.0,6.0,0.1079635792985206,0.0042577743530273,3.0,3.0,0.1036586819583397,0.0059613386789957,3.0,3.0,0.0992017003416223,0.0086597522099812,3.0,3.0,0.0947379606283154,0.0110643068949381,6.0,6.0,5.400293111801148,0.003997802734375,3.0,3.0,5.231733560562134,0.0035476684570312,3.0,3.0,5.241068840026856,0.0075030326843261,3.0,3.0,5.387119293212891,0.0099055767059326
3,2,4.0,4.0,0.10810332525461741,0.0052623748779296875,4.0,4.0,0.1036128366309312,0.0065038204193115234,4.0,4.0,0.09911179853366336,0.007286548614501953,4.0,4.0,0.09465538734153109,0.010009765625,4,4,4.438207785288493,0.004320700963338133,4,4,4.278356013090714,0.011628990587980807,4,4,4.271587516950524,0.00960194546243414,4,4,4.334333202113276,0.012252040531324265
3.0,3.0,7.0,7.0,0.1079093863254626,0.0044372797012329,2.0,2.0,0.1037063151400547,0.005496597290039,2.0,2.0,0.0992437491744841,0.0079521894454956,2.0,2.0,0.0947767813807475,0.0102163791656494,7.0,7.0,4.715858221054077,0.0040230751037597,2.0,2.0,4.945310354232788,0.0071942806243896,2.0,2.0,4.740915060043335,0.0060751438140869,2.0,2.0,4.837332010269165,0.0075612068176269
4,2,6.0,6.0,0.1079828172834523,0.005094289779663086,6.0,6.0,0.10347371903745008,0.005526542663574219,6.0,6.0,0.09901174798761937,0.008008003234863281,6.0,6.0,0.0945238419013848,0.009361743927001953,6,6,4.434279544012887,0.003960473196847058,6,6,4.4018498767506,0.008883635203043581,6,6,4.422399882114295,0.010745185794252285,6,6,4.320488525159432,0.013504021095507024
4.0,3.0,9.0,9.0,0.1077917310255321,0.0043932358423868,5.0,5.0,0.1035661902234342,0.0070114692052205,5.0,5.0,0.0991090510591384,0.0097030321756998,5.0,5.0,0.0946501255026946,0.0123169183731079,9.0,9.0,5.278244256973267,0.0049312114715576,5.0,5.0,5.004416227340698,0.0079891681671142,5.0,5.0,5.120835542678833,0.0081679821014404,5.0,5.0,5.539548635482788,0.0102639198303222
4.0,4.0,12.0,12.0,0.1076236719362977,0.0046934604644775,2.0,2.0,0.1037473124194824,0.0072792609532674,2.0,2.0,0.0992358889759247,0.0076104084650675,2.0,2.0,0.0947730172364576,0.0100527048110961,12.0,12.0,5.097769975662232,0.0039968490600585,2.0,2.0,4.9490485191345215,0.0043170452117919,2.0,2.0,5.01884913444519,0.012620210647583,2.0,2.0,4.921871662139893,0.0115585327148437
5,1,20.0,4.0,0.10880897498936394,0.005899667739868164,5.0,1.0,0.10390270192556532,0.003988504409790039,5.0,1.0,0.0993607434949609,0.002991914749145508,5.0,1.0,0.09494579546250854,0.00751805305480957,20,4,4.320888519287109,0.007171630859375,5,1,5.541636784871419,0.0048442681630451664,5,1,4.260130008061727,0.004721641540527333,5,1,4.136666138966878,0.009210189183553
5,3,11.0,11.0,0.10767818896023351,0.004528045654296875,2.0,2.0,0.10375399393552062,0.007569789886474609,2.0,2.0,0.09928093058576497,0.009568929672241211,2.0,2.0,0.09481923369065312,0.012062311172485352,11,11,4.300666110856192,0.005119476999555271,2,2,4.561201453208923,0.005831778049468925,2,2,4.602128446102142,0.008760392665863025,2,2,4.438268804550171,0.01044940948486324
5,4,10.0,10.0,0.10778178406532019,0.0064966678619384766,7.0,7.0,0.10347561866817959,0.00814509391784668,7.0,7.0,0.0989877893452663,0.009502172470092773,7.0,7.0,0.09454972458691993,0.013023138046264648,10,10,4.117536306381226,0.0085985660552978,7,7,4.412812028612409,0.01005849838256832,7,7,4.295934847423008,0.011957829339163588,7,7,4.404173427157932,0.016459385553995717
5,5,21.0,21.0,0.10711001713996386,0.005182027816772461,5.0,5.0,0.10360018961227817,0.008489847183227539,5.0,5.0,0.09909437573980785,0.009064912796020508,5.0,5.0,0.09466133349591094,0.012804269790649414,21,21,4.62398624420166,0.005781412124633701,5,5,4.342792684381658,0.00842993909662414,5,5,4.362111568450928,0.010218251835216128,5,5,4.391011942516673,0.012387904253872916
6.0,2.0,21.0,5.0,0.1087698208647936,0.0067330996195475,6.0,2.0,0.104103678822623,0.0152634302775065,6.0,2.0,0.0993212620296563,0.0038111130396525,6.0,2.0,0.0948791374054632,0.0071555455525716,21.0,5.0,4.6770994663238525,0.0081188678741455,6.0,2.0,4.389695644378662,0.0041034221649169,6.0,2.0,4.251474857330322,0.0055086612701416,6.0,2.0,4.348327398300171,0.0039987564086914
6,3,9.0,9.0,0.10778840516325273,0.004248619079589844,3.0,3.0,0.10367031891230612,0.006467342376708984,3.0,3.0,0.09919953104671697,0.008565425872802734,3.0,3.0,0.09473667173559717,0.011008262634277344,9,9,4.366194685300191,0.004686832427978466,3,3,4.456982936177935,0.007828712463378856,3,3,4.352833066667829,0.00855759211948935,3,3,4.563129101480756,0.011156422751290414
6,4,12.0,12.0,0.1076597079291632,0.006260395050048828,7.0,7.0,0.1034972056107424,0.009083747863769531,7.0,7.0,0.09898673659114589,0.009456396102905273,7.0,7.0,0.09455593144975485,0.013293027877807617,12,12,4.402934019382183,0.004557958016028723,7,7,4.412812028612409,0.01005849838256832,7,7,4.295934847423008,0.011957829339163588,7,7,4.404173427157932,0.016459385553995717
6,5,11.0,11.0,0.10771281470122515,0.006033658981323242,6.0,6.0,0.103542383828335,0.008512258529663086,6.0,6.0,0.09904626406672347,0.009508848190307617,6.0,6.0,0.09464200806830655,0.014499902725219727,11,11,4.300666110856192,0.005119476999555271,6,6,4.4018498767506,0.008883635203043581,6,6,4.422399882114295,0.010745185794252285,6,6,4.320488525159432,0.013504021095507024
6,6,22.0,22.0,0.10704787422836838,0.005015850067138672,6.0,6.0,0.10351953577406546,0.007518768310546875,6.0,6.0,0.09904370346164934,0.009397506713867188,6.0,6.0,0.09460380186668664,0.012838602066040039,22,22,4.276188717948066,0.0059391657511393,6,6,4.4018498767506,0.008883635203043581,6,6,4.422399882114295,0.010745185794252285,6,6,4.320488525159432,0.013504021095507024
7,2,8.0,4.0,0.10825767234575684,0.004462242126464844,8.0,4.0,0.10377360990868063,0.005983114242553711,8.0,4.0,0.09928927331688557,0.0074920654296875,8.0,4.0,0.09485452034754299,0.011157035827636719,8,4,4.401776552200317,0.0049872398376464,8,4,4.363411386807759,0.0080405473709106,8,4,4.201679587364197,0.009058237075805617,8,4,4.434476415316264,0.013105948766072566
7.0,3.0,52.0,12.0,0.1094382422035922,0.0084802071253458,7.0,3.0,0.1038622151475892,0.0072999397913614,7.0,3.0,0.0992945834069525,0.0051870107650756,7.0,3.0,0.0948628108649436,0.0089815775553385,52.0,12.0,4.455579280853272,0.008026123046875,7.0,3.0,4.457250595092773,0.0036842823028564,7.0,3.0,4.411695718765259,0.0081453323364257,7.0,3.0,4.516897916793823,0.0082037448883056
7,4,10.0,10.0,0.1077818279300752,0.006498575210571289,3.0,3.0,0.10374255319763057,0.009608268737792969,3.0,3.0,0.09923350978257212,0.010042905807495117,3.0,3.0,0.09475946495892294,0.011999368667602539,10,10,4.117536306381226,0.0085985660552978,3,3,4.456982936177935,0.007828712463378856,3,3,4.352833066667829,0.00855759211948935,3,3,4.563129101480756,0.011156422751290414
7,5,13.0,13.0,0.10759506472653174,0.0059854984283447266,4.0,4.0,0.10365862046898032,0.00849461555480957,4.0,4.0,0.09917071438274574,0.009848356246948242,4.0,4.0,0.09472991356030519,0.013250350952148438,13,13,4.29569690877741,0.006122372367165255,4,4,4.278356013090714,0.011628990587980807,4,4,4.271587516950524,0.00960194546243414,4,4,4.334333202113276,0.012252040531324265
7.0,6.0,16.0,16.0,0.1074306926527264,0.0064460436503092,7.0,7.0,0.1034942345046692,0.0089545567830403,7.0,7.0,0.0990078772098264,0.0103756427764892,7.0,7.0,0.0945573669238627,0.0133554458618164,16.0,16.0,4.650910377502441,0.0080444812774658,7.0,7.0,4.59260368347168,0.0089881420135498,7.0,7.0,4.42690372467041,0.0102772712707519,7.0,7.0,6.46556830406189,0.0121545791625976
7,7,27.0,27.0,0.10674464409421577,0.004510402679443359,6.0,6.0,0.10353254167392803,0.008084297180175781,6.0,6.0,0.09907954644959271,0.010956048965454102,6.0,6.0,0.09464315403503137,0.014549732208251953,27,27,4.256859159469604,0.007874011993408139,6,6,4.4018498767506,0.008883635203043581,6,6,4.422399882114295,0.010745185794252285,6,6,4.320488525159432,0.013504021095507024
8.0,3.0,28.0,12.0,0.1084019988076245,0.0084909359614054,10.0,6.0,0.1036924464295281,0.0075258255004882,10.0,6.0,0.0992508860157465,0.0108947912851969,10.0,6.0,0.0948270464146824,0.0150343020757039,28.0,12.0,5.052104949951172,0.0107820034027099,10.0,6.0,4.986342191696167,0.0084939002990722,10.0,6.0,5.075092077255249,0.0070860385894775,10.0,6.0,5.097336530685425,0.011810302734375
8,4,12.0,12.0,0.10760748145522094,0.003989458084106445,6.0,6.0,0.10353098447512493,0.008016586303710938,6.0,6.0,0.09903005055665026,0.008803844451904297,6.0,6.0,0.09457138032963461,0.0114288330078125,12,12,4.402934019382183,0.004557958016028723,6,6,4.4018498767506,0.008883635203043581,6,6,4.422399882114295,0.010745185794252285,6,6,4.320488525159432,0.013504021095507024
8,5,19.0,19.0,0.10723438520957049,0.0055179595947265625,13.0,13.0,0.10316246661327938,0.00974416732788086,13.0,13.0,0.09867257564688028,0.011011600494384766,13.0,13.0,0.09424598152197089,0.01503133773803711,19,19,4.5344259440898895,0.00608876347541805,13,13,4.384561989988599,0.011142466749463712,13,13,4.361619455473764,0.013470598629542706,13,13,4.334913730621338,0.01999498265130175
8,6,14.0,14.0,0.1075353837243116,0.005926370620727539,9.0,9.0,0.10340252301409361,0.010038614273071289,9.0,9.0,0.0988957002522579,0.01056981086730957,9.0,9.0,0.09447756654197244,0.014957427978515625,14,14,4.19525130589803,0.005993498696221178,9,9,4.405217130133447,0.009834522896624578,9,9,4.38229744485084,0.011564432306492536,9,9,4.3774750334151245,0.01440418527481398
8.0,7.0,13.0,13.0,0.1075863806016572,0.0056078910827636,7.0,7.0,0.1034761527215719,0.0081683158874511,7.0,7.0,0.0990442961054491,0.0119592269261678,7.0,7.0,0.0945403618377313,0.0126160224278767,13.0,13.0,5.068958282470703,0.0080485343933105,7.0,7.0,5.129169464111328,0.008218765258789,7.0,7.0,5.144752740859985,0.0110554695129394,7.0,7.0,5.126999139785767,0.0120284557342529
